|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,405308|1:2|2:1|3:3|4:1|5:1|6:0|7:0|8:330
|time:2,4378|1:2|2:5|3:9|4:1|5:1|6:0|7:0|8:330
|time:3,466249|1:2|2:11|3:14|4:1|5:1|6:0|7:0|8:330
|time:4,490267|1:2|2:15|3:15|4:1|5:1|6:0|7:0|8:330
|time:5,515207|1:2|2:13|3:12|4:1|5:1|6:0|7:0|8:330
|time:6,542484|1:2|2:17|3:15|4:1|5:1|6:0|7:0|8:330
|time:8,140089|1:2|2:14|3:20|4:1|5:1|6:0|7:0|8:330
|time:9,171885|1:2|2:7|3:10|4:1|5:1|6:0|7:0|8:330
|time:10,59816|1:2|2:8|3:16|4:1|5:1|6:0|7:0|8:330
|time:11,62371|1:2|2:8|3:16|4:1|5:1|6:0|7:0|8:330
|time:12,65824|1:2|2:11|3:20|4:1|5:1|6:0|7:0|8:330
|time:13,69529|1:2|2:11|3:21|4:1|5:1|6:0|7:0|8:330
|time:14,74227|1:2|2:21|3:21|4:1|5:1|6:0|7:0|8:330
|time:15,77025|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
|time:16,79054|1:2|2:19|3:15|4:1|5:1|6:0|7:0|8:330
|time:17,81322|1:2|2:19|3:18|4:1|5:1|6:0|7:0|8:330
|time:18,84379|1:2|2:19|3:22|4:1|5:1|6:0|7:0|8:330
|time:19,88067|1:2|2:20|3:17|4:1|5:1|6:0|7:0|8:330
|time:20,91368|1:2|2:17|3:17|4:1|5:1|6:0|7:0|8:330
|time:21,9508|1:2|2:14|3:13|4:1|5:1|6:0|7:0|8:330
|time:23,10013|1:2|2:14|3:11|4:1|5:1|6:0|7:0|8:330
|time:24,1256|1:2|2:19|3:14|4:1|5:1|6:0|7:0|8:330
|time:25,6087|1:2|2:19|3:12|4:1|5:1|6:0|7:0|8:330
|time:26,62995|1:2|2:18|3:13|4:1|5:1|6:0|7:0|8:330
|time:27,66445|1:2|2:21|3:16|4:1|5:1|6:0|7:0|8:330
|time:28,69275|1:2|2:26|3:15|4:1|5:1|6:0|7:0|8:330
|time:29,98702|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
|time:31,01291|1:2|2:18|3:14|4:1|5:1|6:0|7:0|8:330
|time:32,04797|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
|time:33,12661|1:2|2:21|3:18|4:1|5:1|6:0|7:0|8:330
|time:34,243|1:2|2:17|3:14|4:1|5:1|6:0|7:0|8:330
|time:35,34864|1:2|2:16|3:10|4:1|5:1|6:0|7:0|8:330
|time:36,36662|1:2|2:17|3:12|4:1|5:1|6:0|7:0|8:330
|time:37,40005|1:2|2:21|3:15|4:1|5:1|6:0|7:0|8:330
|time:38,41844|1:2|2:20|3:16|4:1|5:1|6:0|7:0|8:330
|time:39,44743|1:2|2:19|3:14|4:1|5:1|6:0|7:0|8:330
|time:40,47884|1:2|2:23|3:15|4:1|5:1|6:0|7:0|8:330
|time:41,50651|1:2|2:28|3:16|4:1|5:1|6:0|7:0|8:330
|time:42,52859|1:2|2:20|3:13|4:1|5:1|6:0|7:0|8:330
|time:43,54717|1:2|2:18|3:15|4:1|5:1|6:0|7:0|8:330
|time:44,58162|1:2|2:21|3:16|4:1|5:1|6:0|7:0|8:330
|time:45,61238|1:2|2:18|3:17|4:1|5:1|6:0|7:0|8:330
|time:46,63845|1:2|2:14|3:13|4:1|5:1|6:0|7:0|8:330
|time:47,6677|1:2|2:18|3:23|4:1|5:1|6:0|7:0|8:330
|time:48,69355|1:2|2:18|3:13|4:1|5:1|6:0|7:0|8:330
|time:49,72772|1:2|2:21|3:14|4:1|5:1|6:0|7:0|8:330
|time:50,75773|1:2|2:21|3:11|4:1|5:1|6:0|7:0|8:330
|time:51,78381|1:3|2:24|3:11|4:1|5:2|6:0|7:0|8:330
|time:52,80368|1:3|2:17|3:9|4:1|5:2|6:0|7:0|8:330
|time:53,83364|1:3|2:22|3:9|4:1|5:2|6:0|7:0|8:330
|time:54,86686|1:3|2:21|3:9|4:1|5:2|6:0|7:0|8:330
|time:55,89762|1:3|2:24|3:13|4:1|5:2|6:0|7:0|8:330
|time:56,92047|1:3|2:20|3:17|4:1|5:2|6:0|7:0|8:330
|time:57,95768|1:3|2:19|3:16|4:1|5:2|6:0|7:0|8:330
|time:58,98076|1:3|2:19|3:13|4:1|5:2|6:0|7:0|8:330
|time:60,01365|1:3|2:18|3:15|4:1|5:2|6:0|7:0|8:330
|time:61,03712|1:3|2:17|3:17|4:1|5:2|6:0|7:0|8:330
|time:62,05635|1:3|2:21|3:16|4:1|5:2|6:0|7:0|8:330
|time:63,10914|1:3|2:23|3:21|4:1|5:2|6:0|7:0|8:330
|time:64,1342|1:3|2:22|3:20|4:1|5:2|6:0|7:0|8:330
|time:65,15274|1:3|2:27|3:25|4:1|5:2|6:0|7:0|8:330
|time:66,50344|1:3|2:19|3:19|4:1|5:2|6:0|7:0|8:330
