|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,031706|1:2|2:5|3:5|4:1|5:1|6:0|7:0|8:330
|time:2,06702|1:2|2:5|3:11|4:1|5:1|6:0|7:0|8:330
|time:3,102178|1:2|2:10|3:11|4:1|5:1|6:0|7:0|8:330
|time:4,130562|1:2|2:14|3:10|4:1|5:1|6:0|7:0|8:330
|time:5,158436|1:2|2:16|3:17|4:1|5:1|6:0|7:0|8:330
|time:6,182711|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
|time:7,212874|1:2|2:22|3:10|4:1|5:1|6:0|7:0|8:330
|time:8,245252|1:2|2:16|3:10|4:1|5:1|6:0|7:0|8:330
|time:9,264929|1:2|2:17|3:11|4:1|5:1|6:0|7:0|8:330
|time:10,29703|1:2|2:14|3:12|4:1|5:1|6:0|7:0|8:330
