|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,036596|1:2|2:3|3:0|4:1|5:1|6:0|7:0|8:330
|time:2,06833|1:2|2:10|3:6|4:1|5:1|6:0|7:0|8:330
|time:3,242247|1:2|2:8|3:8|4:1|5:1|6:0|7:0|8:330
|time:4,279815|1:2|2:11|3:15|4:1|5:1|6:0|7:0|8:330
|time:5,330998|1:2|2:13|3:17|4:1|5:1|6:0|7:0|8:330
|time:6,357327|1:2|2:13|3:20|4:1|5:1|6:0|7:0|8:330
|time:7,383587|1:2|2:16|3:22|4:1|5:1|6:0|7:0|8:330
|time:8,413611|1:2|2:10|3:23|4:1|5:1|6:0|7:0|8:330
|time:9,449933|1:2|2:12|3:19|4:1|5:1|6:0|7:0|8:330
|time:10,4913|1:2|2:10|3:17|4:1|5:1|6:0|7:0|8:330
|time:11,51713|1:2|2:14|3:18|4:1|5:1|6:0|7:0|8:330
|time:12,54209|1:2|2:15|3:21|4:1|5:1|6:0|7:0|8:330
|time:13,58278|1:2|2:12|3:24|4:1|5:1|6:0|7:0|8:330
|time:14,62066|1:2|2:20|3:19|4:1|5:1|6:0|7:0|8:330
|time:15,64649|1:2|2:14|3:23|4:1|5:1|6:0|7:0|8:330
|time:16,66784|1:2|2:13|3:20|4:1|5:1|6:0|7:0|8:330
|time:17,69181|1:2|2:15|3:24|4:1|5:1|6:0|7:0|8:330
|time:18,73051|1:2|2:15|3:19|4:1|5:1|6:0|7:0|8:330
