|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,247596|1:2|2:2|3:1|4:1|5:1|6:0|7:0|8:330
|time:2,296159|1:2|2:6|3:4|4:1|5:1|6:0|7:0|8:330
|time:3,331493|1:2|2:12|3:9|4:1|5:1|6:0|7:0|8:330
|time:4,366253|1:2|2:15|3:11|4:1|5:1|6:0|7:0|8:330
|time:5,391546|1:2|2:16|3:18|4:1|5:1|6:0|7:0|8:330
|time:6,423779|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:7,446364|1:2|2:19|3:20|4:1|5:1|6:0|7:0|8:330
|time:8,463846|1:2|2:19|3:13|4:1|5:1|6:0|7:0|8:330
|time:9,494775|1:2|2:15|3:14|4:1|5:1|6:0|7:0|8:330
|time:10,52491|1:2|2:19|3:13|4:1|5:1|6:0|7:0|8:330
|time:11,55003|1:2|2:18|3:15|4:1|5:1|6:0|7:0|8:330
|time:12,56845|1:2|2:21|3:17|4:1|5:1|6:0|7:0|8:330
|time:13,59008|1:2|2:21|3:18|4:1|5:1|6:0|7:0|8:330
|time:14,6144|1:2|2:16|3:13|4:1|5:1|6:0|7:0|8:330
|time:15,64986|1:2|2:11|3:14|4:1|5:1|6:0|7:0|8:330
|time:16,69615|1:2|2:16|3:11|4:1|5:1|6:0|7:0|8:330
|time:17,7319|1:2|2:15|3:13|4:1|5:1|6:0|7:0|8:330
|time:18,75779|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:19,79199|1:2|2:16|3:12|4:1|5:1|6:0|7:0|8:330
|time:20,83055|1:2|2:19|3:19|4:1|5:1|6:0|7:0|8:330
|time:21,86793|1:2|2:19|3:18|4:1|5:1|6:0|7:0|8:330
|time:22,9092|1:2|2:25|3:13|4:1|5:1|6:0|7:0|8:330
|time:23,93207|1:2|2:25|3:15|4:1|5:1|6:0|7:0|8:330
|time:24,98156|1:2|2:22|3:15|4:1|5:1|6:0|7:0|8:330
|time:26,0139|1:2|2:20|3:16|4:1|5:1|6:0|7:0|8:330
|time:27,12672|1:2|2:19|3:18|4:1|5:1|6:0|7:0|8:330
|time:28,25882|1:2|2:16|3:15|4:1|5:1|6:0|7:0|8:330
|time:29,4249|1:2|2:15|3:15|4:1|5:1|6:0|7:0|8:330
|time:30,69657|1:2|2:16|3:13|4:1|5:1|6:0|7:0|8:330
|time:32,13899|1:2|2:16|3:14|4:1|5:1|6:0|7:0|8:330
|time:33,43854|1:2|2:14|3:13|4:1|5:1|6:0|7:0|8:330
