|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,047391|1:2|2:5|3:3|4:1|5:1|6:0|7:0|8:330
|time:2,470497|1:2|2:10|3:9|4:1|5:1|6:0|7:0|8:330
|time:3,498691|1:2|2:11|3:10|4:1|5:1|6:0|7:0|8:330
|time:4,523977|1:2|2:12|3:15|4:1|5:1|6:0|7:0|8:330
|time:5,547096|1:2|2:16|3:19|4:1|5:1|6:0|7:0|8:330
|time:6,581382|1:2|2:14|3:16|4:1|5:1|6:0|7:0|8:330
|time:7,599563|1:2|2:11|3:20|4:1|5:1|6:0|7:0|8:330
|time:8,627175|1:2|2:11|3:16|4:1|5:1|6:0|7:0|8:330
|time:9,653945|1:2|2:16|3:14|4:1|5:1|6:0|7:0|8:330
|time:10,68077|1:2|2:20|3:16|4:1|5:1|6:0|7:0|8:330
|time:11,7096|1:2|2:16|3:22|4:1|5:1|6:0|7:0|8:330
|time:12,73924|1:2|2:13|3:23|4:1|5:1|6:0|7:0|8:330
|time:13,7707|1:2|2:17|3:21|4:1|5:1|6:0|7:0|8:330
|time:14,79743|1:2|2:18|3:22|4:1|5:1|6:0|7:0|8:330
|time:15,82282|1:2|2:14|3:22|4:1|5:1|6:0|7:0|8:330
|time:16,84333|1:2|2:12|3:21|4:1|5:1|6:0|7:0|8:330
|time:18,27688|1:2|2:13|3:17|4:1|5:1|6:0|7:0|8:330
|time:19,61022|1:2|2:11|3:12|4:1|5:1|6:0|7:0|8:330
|time:20,94355|1:2|2:11|3:13|4:1|5:1|6:0|7:0|8:330
|time:22,27688|1:2|2:11|3:13|4:1|5:1|6:0|7:0|8:330
|time:23,61022|1:2|2:12|3:13|4:1|5:1|6:0|7:0|8:330
|time:24,94355|1:2|2:12|3:13|4:1|5:1|6:0|7:0|8:330
|time:26,27688|1:2|2:11|3:12|4:1|5:1|6:0|7:0|8:330
|time:27,61022|1:2|2:11|3:12|4:1|5:1|6:0|7:0|8:330
|time:28,94355|1:2|2:12|3:11|4:1|5:1|6:0|7:0|8:330
|time:30,27688|1:2|2:10|3:12|4:1|5:1|6:0|7:0|8:330
