|time:0|1:2|2:0|3:1|4:1|5:1|6:0|7:0
|time:1,028912|1:2|2:0|3:1|4:1|5:1|6:0|7:0
|time:2,128532|1:2|2:4|3:4|4:1|5:1|6:0|7:0
|time:3,152429|1:2|2:6|3:8|4:1|5:1|6:0|7:0
|time:4,247766|1:2|2:7|3:8|4:1|5:1|6:0|7:0
|time:5,28304|1:2|2:13|3:11|4:1|5:1|6:0|7:0
|time:6,384412|1:2|2:9|3:10|4:1|5:1|6:0|7:0
|time:7,500285|1:2|2:9|3:9|4:1|5:1|6:0|7:0
|time:8,566227|1:2|2:11|3:11|4:1|5:1|6:0|7:0
|time:9,709502|1:2|2:13|3:14|4:1|5:1|6:0|7:0
|time:10,81165|1:2|2:14|3:14|4:1|5:1|6:0|7:0
|time:11,90077|1:2|2:13|3:16|4:1|5:1|6:0|7:0
|time:13,07829|1:2|2:15|3:12|4:1|5:1|6:0|7:0
|time:14,19248|1:2|2:15|3:13|4:1|5:1|6:0|7:0
|time:15,41128|1:2|2:16|3:11|4:1|5:1|6:0|7:0
|time:16,45124|1:2|2:17|3:12|4:1|5:1|6:0|7:0
|time:17,51085|1:2|2:19|3:13|4:1|5:1|6:0|7:0
|time:18,56145|1:2|2:21|3:12|4:1|5:1|6:0|7:0
|time:19,61157|1:2|2:22|3:13|4:1|5:1|6:0|7:0
|time:20,65222|1:2|2:21|3:10|4:1|5:1|6:0|7:0
|time:21,73365|1:2|2:24|3:9|4:1|5:1|6:0|7:0
|time:22,7765|1:2|2:20|3:11|4:1|5:1|6:0|7:0
|time:23,82926|1:2|2:23|3:14|4:1|5:1|6:0|7:0
|time:24,89468|1:2|2:19|3:15|4:1|5:1|6:0|7:0
|time:25,97161|1:2|2:19|3:14|4:1|5:1|6:0|7:0
|time:27,03383|1:2|2:17|3:9|4:1|5:1|6:0|7:0
|time:28,08241|1:2|2:19|3:9|4:1|5:1|6:0|7:0
|time:29,12682|1:2|2:18|3:9|4:1|5:1|6:0|7:0
|time:30,20053|1:2|2:16|3:6|4:1|5:1|6:0|7:0
|time:31,2657|1:2|2:17|3:7|4:1|5:1|6:0|7:0
|time:32,35389|1:2|2:19|3:11|4:1|5:1|6:0|7:0
|time:33,39909|1:2|2:20|3:12|4:1|5:1|6:0|7:0
|time:34,44786|1:2|2:19|3:12|4:1|5:1|6:0|7:0
|time:35,49794|1:2|2:14|3:12|4:1|5:1|6:0|7:0
|time:36,56856|1:2|2:14|3:14|4:1|5:1|6:0|7:0
|time:37,63158|1:2|2:15|3:15|4:1|5:1|6:0|7:0
|time:38,71581|1:2|2:13|3:11|4:1|5:1|6:0|7:0
|time:39,79523|1:2|2:17|3:17|4:1|5:1|6:0|7:0
|time:40,86242|1:2|2:12|3:12|4:1|5:1|6:0|7:0
|time:41,93567|1:2|2:15|3:12|4:1|5:1|6:0|7:0
|time:42,98211|1:2|2:12|3:11|4:1|5:1|6:0|7:0
|time:44,0478|1:2|2:12|3:11|4:1|5:1|6:0|7:0
|time:45,08723|1:2|2:12|3:13|4:1|5:1|6:0|7:0
|time:46,13127|1:2|2:16|3:17|4:1|5:1|6:0|7:0
|time:47,52846|1:50|2:14|3:12|4:19|5:11|6:0|7:20
|time:48,60093|1:50|2:16|3:11|4:19|5:11|6:0|7:20
|time:49,6772|1:50|2:17|3:13|4:19|5:11|6:0|7:20
|time:50,79774|1:41|2:16|3:12|4:16|5:9|6:0|7:16
|time:51,86596|1:41|2:19|3:12|4:16|5:9|6:0|7:16
|time:52,96783|1:41|2:17|3:12|4:16|5:9|6:0|7:16
|time:54,01904|1:37|2:16|3:14|4:15|5:8|6:0|7:14
|time:55,07277|1:37|2:17|3:12|4:15|5:8|6:0|7:14
|time:56,14921|1:37|2:19|3:12|4:15|5:8|6:0|7:14
|time:57,18658|1:34|2:15|3:10|4:12|5:8|6:0|7:14
|time:58,22257|1:34|2:17|3:11|4:12|5:8|6:0|7:14
|time:59,28447|1:33|2:16|3:11|4:12|5:8|6:0|7:13
|time:60,35043|1:33|2:16|3:12|4:12|5:8|6:0|7:13
|time:61,40018|1:33|2:16|3:15|4:12|5:8|6:0|7:13
|time:62,46848|1:32|2:13|3:17|4:11|5:8|6:0|7:13
|time:63,56351|1:31|2:16|3:14|4:11|5:8|6:0|7:12
|time:64,67468|1:31|2:15|3:16|4:11|5:8|6:0|7:12
|time:65,74031|1:27|2:13|3:12|4:9|5:7|6:0|7:11
|time:66,79645|1:27|2:13|3:14|4:9|5:7|6:0|7:11
|time:67,87007|1:27|2:14|3:11|4:9|5:7|6:0|7:11
|time:68,94793|1:27|2:17|3:12|4:9|5:7|6:0|7:11
|time:70,01228|1:27|2:11|3:10|4:9|5:7|6:0|7:11
|time:71,08937|1:27|2:9|3:10|4:9|5:7|6:0|7:11
|time:72,17852|1:27|2:9|3:8|4:9|5:7|6:0|7:11
|time:73,22769|1:27|2:10|3:11|4:9|5:7|6:0|7:11
|time:74,29969|1:27|2:13|3:11|4:9|5:7|6:0|7:11
