|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,037487|1:2|2:3|3:2|4:1|5:1|6:0|7:0|8:330
|time:2,066963|1:2|2:8|3:8|4:1|5:1|6:0|7:0|8:330
|time:3,092527|1:2|2:10|3:9|4:1|5:1|6:0|7:0|8:330
|time:4,152837|1:2|2:10|3:11|4:1|5:1|6:0|7:0|8:330
|time:5,203469|1:2|2:10|3:15|4:1|5:1|6:0|7:0|8:330
|time:6,257977|1:2|2:11|3:14|4:1|5:1|6:0|7:0|8:330
|time:7,290513|1:2|2:13|3:14|4:1|5:1|6:0|7:0|8:330
|time:8,324395|1:2|2:16|3:15|4:1|5:1|6:0|7:0|8:330
|time:9,350781|1:2|2:10|3:16|4:1|5:1|6:0|7:0|8:330
|time:10,38732|1:2|2:15|3:14|4:1|5:1|6:0|7:0|8:330
|time:11,41565|1:2|2:19|3:15|4:1|5:1|6:0|7:0|8:330
|time:12,44856|1:2|2:16|3:20|4:1|5:1|6:0|7:0|8:330
|time:13,4743|1:2|2:10|3:23|4:1|5:1|6:0|7:0|8:330
|time:14,50704|1:2|2:10|3:18|4:1|5:1|6:0|7:0|8:330
|time:15,54776|1:2|2:13|3:20|4:1|5:1|6:0|7:0|8:330
|time:16,58846|1:2|2:12|3:19|4:1|5:1|6:0|7:0|8:330
|time:17,61455|1:2|2:10|3:18|4:1|5:1|6:0|7:0|8:330
|time:18,64891|1:2|2:16|3:16|4:1|5:1|6:0|7:0|8:330
|time:19,68266|1:2|2:17|3:16|4:1|5:1|6:0|7:0|8:330
|time:20,71087|1:2|2:19|3:16|4:1|5:1|6:0|7:0|8:330
|time:21,74206|1:2|2:20|3:22|4:1|5:1|6:0|7:0|8:330
|time:22,77264|1:2|2:19|3:24|4:1|5:1|6:0|7:0|8:330
|time:23,81421|1:2|2:21|3:22|4:1|5:1|6:0|7:0|8:330
|time:24,85108|1:2|2:21|3:17|4:1|5:1|6:0|7:0|8:330
|time:25,8909|1:2|2:16|3:11|4:1|5:1|6:0|7:0|8:330
|time:26,912|1:2|2:11|3:11|4:1|5:1|6:0|7:0|8:330
|time:27,94955|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:28,9861|1:2|2:13|3:13|4:1|5:1|6:0|7:0|8:330
|time:30,02477|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
|time:31,06059|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:32,08424|1:2|2:13|3:12|4:1|5:1|6:0|7:0|8:330
|time:33,1116|1:2|2:13|3:16|4:1|5:1|6:0|7:0|8:330
|time:34,15716|1:2|2:12|3:11|4:1|5:1|6:0|7:0|8:330
|time:35,18235|1:2|2:13|3:13|4:1|5:1|6:0|7:0|8:330
|time:36,20912|1:2|2:15|3:13|4:1|5:1|6:0|7:0|8:330
|time:37,23794|1:2|2:20|3:16|4:1|5:1|6:0|7:0|8:330
|time:38,28283|1:2|2:21|3:17|4:1|5:1|6:0|7:0|8:330
|time:39,34825|1:2|2:17|3:14|4:1|5:1|6:0|7:0|8:330
|time:40,37467|1:2|2:14|3:13|4:1|5:1|6:0|7:0|8:330
|time:41,40498|1:2|2:21|3:18|4:1|5:1|6:0|7:0|8:330
|time:42,50555|1:2|2:20|3:17|4:1|5:1|6:0|7:0|8:330
|time:43,53159|1:2|2:19|3:17|4:1|5:1|6:0|7:0|8:330
|time:44,57132|1:2|2:26|3:19|4:1|5:1|6:0|7:0|8:330
|time:45,62245|1:2|2:20|3:13|4:1|5:1|6:0|7:0|8:330
|time:46,6545|1:2|2:18|3:13|4:1|5:1|6:0|7:0|8:330
|time:47,69001|1:2|2:20|3:16|4:1|5:1|6:0|7:0|8:330
|time:48,73217|1:2|2:16|3:19|4:1|5:1|6:0|7:0|8:330
|time:49,77315|1:2|2:17|3:20|4:1|5:1|6:0|7:0|8:330
|time:50,83139|1:2|2:18|3:21|4:1|5:1|6:0|7:0|8:330
|time:51,8766|1:2|2:21|3:19|4:1|5:1|6:0|7:0|8:330
|time:52,90827|1:2|2:24|3:15|4:1|5:1|6:0|7:0|8:330
|time:53,9593|1:3|2:20|3:16|4:1|5:2|6:0|7:0|8:330
|time:55,01847|1:3|2:20|3:16|4:1|5:2|6:0|7:0|8:330
