|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,141161|1:2|2:0|3:1|4:1|5:1|6:0|7:0|8:330
|time:2,172203|1:2|2:6|3:9|4:1|5:1|6:0|7:0|8:330
|time:3,202392|1:2|2:8|3:12|4:1|5:1|6:0|7:0|8:330
|time:4,233397|1:2|2:8|3:10|4:1|5:1|6:0|7:0|8:330
|time:5,365933|1:2|2:10|3:13|4:1|5:1|6:0|7:0|8:330
|time:6,703847|1:2|2:16|3:17|4:1|5:1|6:0|7:0|8:330
|time:7,73172|1:2|2:16|3:10|4:1|5:1|6:0|7:0|8:330
|time:9,063132|1:2|2:14|3:9|4:1|5:1|6:0|7:0|8:330
|time:10,09225|1:2|2:24|3:13|4:1|5:1|6:0|7:0|8:330
|time:11,12378|1:2|2:28|3:14|4:1|5:1|6:0|7:0|8:330
|time:12,15658|1:2|2:27|3:12|4:1|5:1|6:0|7:0|8:330
|time:13,18441|1:2|2:23|3:15|4:1|5:1|6:0|7:0|8:330
|time:14,20944|1:2|2:27|3:13|4:1|5:1|6:0|7:0|8:330
|time:15,2453|1:2|2:24|3:13|4:1|5:1|6:0|7:0|8:330
|time:16,2762|1:2|2:22|3:17|4:1|5:1|6:0|7:0|8:330
|time:17,29893|1:2|2:21|3:11|4:1|5:1|6:0|7:0|8:330
|time:18,32253|1:2|2:22|3:8|4:1|5:1|6:0|7:0|8:330
|time:19,36515|1:2|2:21|3:15|4:1|5:1|6:0|7:0|8:330
|time:20,3871|1:2|2:28|3:13|4:1|5:1|6:0|7:0|8:330
|time:21,41153|1:2|2:22|3:10|4:1|5:1|6:0|7:0|8:330
|time:22,45168|1:2|2:31|3:15|4:1|5:1|6:0|7:0|8:330
|time:23,47929|1:2|2:25|3:18|4:1|5:1|6:0|7:0|8:330
|time:24,52011|1:2|2:18|3:15|4:1|5:1|6:0|7:0|8:330
|time:25,54991|1:2|2:17|3:17|4:1|5:1|6:0|7:0|8:330
|time:26,58979|1:2|2:15|3:14|4:1|5:1|6:0|7:0|8:330
|time:27,63214|1:2|2:12|3:21|4:1|5:1|6:0|7:0|8:330
|time:28,66849|1:2|2:12|3:17|4:1|5:1|6:0|7:0|8:330
|time:29,69485|1:2|2:16|3:20|4:1|5:1|6:0|7:0|8:330
|time:30,71669|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
|time:31,74505|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
|time:32,7771|1:2|2:18|3:11|4:1|5:1|6:0|7:0|8:330
|time:33,80888|1:2|2:22|3:13|4:1|5:1|6:0|7:0|8:330
|time:34,8387|1:2|2:20|3:17|4:1|5:1|6:0|7:0|8:330
|time:35,87737|1:2|2:16|3:14|4:1|5:1|6:0|7:0|8:330
|time:36,91372|1:2|2:18|3:23|4:1|5:1|6:0|7:0|8:330
|time:37,96828|1:2|2:19|3:22|4:1|5:1|6:0|7:0|8:330
|time:39,00305|1:2|2:20|3:19|4:1|5:1|6:0|7:0|8:330
|time:40,03483|1:2|2:22|3:17|4:1|5:1|6:0|7:0|8:330
|time:41,06378|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
|time:42,09|1:2|2:19|3:15|4:1|5:1|6:0|7:0|8:330
|time:43,13284|1:2|2:20|3:20|4:1|5:1|6:0|7:0|8:330
|time:44,15974|1:2|2:16|3:15|4:1|5:1|6:0|7:0|8:330
|time:45,19872|1:2|2:23|3:19|4:1|5:1|6:0|7:0|8:330
|time:46,22367|1:2|2:18|3:14|4:1|5:1|6:0|7:0|8:330
|time:47,25496|1:2|2:14|3:18|4:1|5:1|6:0|7:0|8:330
|time:48,28366|1:2|2:17|3:17|4:1|5:1|6:0|7:0|8:330
|time:49,30981|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
