|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0
|time:1,027674|1:2|2:1|3:2|4:1|5:1|6:0|7:0
|time:2,081321|1:2|2:3|3:8|4:1|5:1|6:0|7:0
|time:3,097559|1:2|2:9|3:9|4:1|5:1|6:0|7:0
|time:4,126212|1:2|2:12|3:14|4:1|5:1|6:0|7:0
|time:5,14707|1:2|2:13|3:18|4:1|5:1|6:0|7:0
|time:6,189215|1:2|2:18|3:17|4:1|5:1|6:0|7:0
|time:7,254354|1:2|2:16|3:14|4:1|5:1|6:0|7:0
|time:8,296876|1:2|2:15|3:13|4:1|5:1|6:0|7:0
|time:9,318158|1:2|2:17|3:16|4:1|5:1|6:0|7:0
|time:10,34453|1:2|2:20|3:16|4:1|5:1|6:0|7:0
|time:11,38581|1:2|2:20|3:14|4:1|5:1|6:0|7:0
|time:12,41143|1:2|2:17|3:14|4:1|5:1|6:0|7:0
|time:13,43371|1:2|2:14|3:19|4:1|5:1|6:0|7:0
|time:14,46814|1:2|2:11|3:15|4:1|5:1|6:0|7:0
|time:15,50345|1:2|2:10|3:15|4:1|5:1|6:0|7:0
|time:16,52869|1:2|2:9|3:18|4:1|5:1|6:0|7:0
|time:17,55056|1:2|2:12|3:17|4:1|5:1|6:0|7:0
|time:18,58935|1:2|2:7|3:16|4:1|5:1|6:0|7:0
|time:19,63572|1:2|2:9|3:18|4:1|5:1|6:0|7:0
|time:20,65792|1:2|2:12|3:17|4:1|5:1|6:0|7:0
|time:21,68182|1:2|2:15|3:20|4:1|5:1|6:0|7:0
|time:22,71556|1:2|2:17|3:16|4:1|5:1|6:0|7:0
|time:23,75311|1:2|2:23|3:15|4:1|5:1|6:0|7:0
|time:24,77878|1:2|2:19|3:15|4:1|5:1|6:0|7:0
|time:25,81272|1:2|2:19|3:14|4:1|5:1|6:0|7:0
|time:26,85793|1:2|2:19|3:17|4:1|5:1|6:0|7:0
|time:27,8954|1:2|2:24|3:16|4:1|5:1|6:0|7:0
|time:28,9285|1:2|2:23|3:12|4:1|5:1|6:0|7:0
|time:29,97013|1:2|2:24|3:12|4:1|5:1|6:0|7:0
|time:31,00848|1:2|2:24|3:10|4:1|5:1|6:0|7:0
|time:32,0411|1:2|2:25|3:12|4:1|5:1|6:0|7:0
|time:33,07824|1:2|2:24|3:13|4:1|5:1|6:0|7:0
|time:34,11751|1:2|2:20|3:16|4:1|5:1|6:0|7:0
|time:35,1498|1:2|2:21|3:18|4:1|5:1|6:0|7:0
|time:36,17814|1:2|2:25|3:20|4:1|5:1|6:0|7:0
|time:37,20461|1:2|2:22|3:15|4:1|5:1|6:0|7:0
|time:38,23563|1:2|2:20|3:14|4:1|5:1|6:0|7:0
