|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,023567|1:2|2:2|3:6|4:1|5:1|6:0|7:0|8:330
|time:2,04266|1:2|2:5|3:8|4:1|5:1|6:0|7:0|8:330
|time:3,0723|1:2|2:14|3:10|4:1|5:1|6:0|7:0|8:330
|time:4,10377|1:2|2:14|3:9|4:1|5:1|6:0|7:0|8:330
|time:5,13729|1:2|2:19|3:11|4:1|5:1|6:0|7:0|8:330
|time:6,158342|1:2|2:21|3:12|4:1|5:1|6:0|7:0|8:330
|time:7,183506|1:2|2:23|3:14|4:1|5:1|6:0|7:0|8:330
|time:8,216311|1:2|2:21|3:14|4:1|5:1|6:0|7:0|8:330
|time:9,24416|1:2|2:25|3:16|4:1|5:1|6:0|7:0|8:330
|time:10,28612|1:2|2:18|3:13|4:1|5:1|6:0|7:0|8:330
|time:11,30809|1:2|2:18|3:17|4:1|5:1|6:0|7:0|8:330
|time:12,33378|1:2|2:13|3:19|4:1|5:1|6:0|7:0|8:330
|time:13,36485|1:2|2:15|3:20|4:1|5:1|6:0|7:0|8:330
|time:14,63203|1:2|2:19|3:25|4:1|5:1|6:0|7:0|8:330
|time:15,66077|1:2|2:14|3:25|4:1|5:1|6:0|7:0|8:330
|time:16,86855|1:2|2:16|3:23|4:1|5:1|6:0|7:0|8:330
|time:17,91501|1:2|2:21|3:24|4:1|5:1|6:0|7:0|8:330
|time:18,93826|1:2|2:16|3:21|4:1|5:1|6:0|7:0|8:330
|time:19,9737|1:2|2:19|3:13|4:1|5:1|6:0|7:0|8:330
|time:21,50789|1:2|2:18|3:13|4:1|5:1|6:0|7:0|8:330
