|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0
|time:1,039895|1:2|2:4|3:1|4:1|5:1|6:0|7:0
|time:2,080873|1:2|2:7|3:6|4:1|5:1|6:0|7:0
|time:3,107384|1:2|2:10|3:11|4:1|5:1|6:0|7:0
|time:4,134256|1:2|2:11|3:11|4:1|5:1|6:0|7:0
|time:5,168929|1:2|2:9|3:11|4:1|5:1|6:0|7:0
|time:6,204302|1:2|2:13|3:15|4:1|5:1|6:0|7:0
|time:7,239973|1:2|2:14|3:16|4:1|5:1|6:0|7:0
|time:8,306483|1:2|2:16|3:16|4:1|5:1|6:0|7:0
|time:9,329615|1:2|2:13|3:18|4:1|5:1|6:0|7:0
|time:10,35321|1:2|2:17|3:17|4:1|5:1|6:0|7:0
|time:11,37917|1:2|2:14|3:19|4:1|5:1|6:0|7:0
|time:12,40907|1:2|2:13|3:16|4:1|5:1|6:0|7:0
|time:13,4453|1:2|2:18|3:15|4:1|5:1|6:0|7:0
|time:14,47627|1:2|2:17|3:15|4:1|5:1|6:0|7:0
|time:15,5563|1:2|2:12|3:16|4:1|5:1|6:0|7:0
|time:16,5927|1:2|2:17|3:16|4:1|5:1|6:0|7:0
|time:17,63224|1:2|2:18|3:17|4:1|5:1|6:0|7:0
|time:18,67941|1:2|2:18|3:14|4:1|5:1|6:0|7:0
|time:19,71611|1:2|2:10|3:14|4:1|5:1|6:0|7:0
|time:20,76805|1:2|2:13|3:19|4:1|5:1|6:0|7:0
|time:21,83814|1:2|2:13|3:18|4:1|5:1|6:0|7:0
|time:22,88335|1:2|2:16|3:20|4:1|5:1|6:0|7:0
|time:23,94548|1:2|2:20|3:23|4:1|5:1|6:0|7:0
|time:24,98852|1:2|2:19|3:20|4:1|5:1|6:0|7:0
|time:26,06048|1:2|2:15|3:18|4:1|5:1|6:0|7:0
|time:27,11992|1:2|2:14|3:20|4:1|5:1|6:0|7:0
|time:28,18637|1:2|2:12|3:22|4:1|5:1|6:0|7:0
|time:29,28169|1:2|2:14|3:19|4:1|5:1|6:0|7:0
|time:30,37115|1:2|2:17|3:19|4:1|5:1|6:0|7:0
|time:31,44398|1:2|2:13|3:20|4:1|5:1|6:0|7:0
|time:32,52485|1:2|2:13|3:22|4:1|5:1|6:0|7:0
|time:33,58751|1:2|2:13|3:19|4:1|5:1|6:0|7:0
|time:34,67109|1:2|2:11|3:21|4:1|5:1|6:0|7:0
|time:35,90646|1:2|2:10|3:18|4:1|5:1|6:0|7:0
|time:36,99908|1:2|2:6|3:20|4:1|5:1|6:0|7:0
|time:38,14099|1:2|2:11|3:18|4:1|5:1|6:0|7:0
|time:39,24354|1:2|2:7|3:19|4:1|5:1|6:0|7:0
|time:40,29623|1:2|2:6|3:19|4:1|5:1|6:0|7:0
|time:41,3648|1:2|2:5|3:18|4:1|5:1|6:0|7:0
|time:42,48589|1:2|2:7|3:17|4:1|5:1|6:0|7:0
|time:43,66229|1:2|2:5|3:17|4:1|5:1|6:0|7:0
|time:44,91062|1:2|2:7|3:20|4:1|5:1|6:0|7:0
|time:46,11735|1:2|2:10|3:17|4:1|5:1|6:0|7:0
|time:47,30827|1:2|2:7|3:17|4:1|5:1|6:0|7:0
|time:48,37839|1:2|2:8|3:18|4:1|5:1|6:0|7:0
|time:49,46278|1:2|2:9|3:17|4:1|5:1|6:0|7:0
|time:50,53719|1:2|2:9|3:17|4:1|5:1|6:0|7:0
|time:51,73534|1:2|2:8|3:17|4:1|5:1|6:0|7:0
|time:52,91064|1:2|2:11|3:19|4:1|5:1|6:0|7:0
|time:53,99217|1:2|2:6|3:16|4:1|5:1|6:0|7:0
|time:55,10056|1:3|2:6|3:16|4:1|5:2|6:0|7:0
|time:56,1798|1:3|2:8|3:20|4:1|5:2|6:0|7:0
|time:57,26154|1:3|2:7|3:14|4:1|5:2|6:0|7:0
|time:58,30452|1:3|2:7|3:17|4:1|5:2|6:0|7:0
|time:59,41164|1:3|2:11|3:13|4:1|5:2|6:0|7:0
