|time:0|1:2|2:1|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,027531|1:2|2:5|3:3|4:1|5:1|6:0|7:0|8:330
|time:2,06053|1:2|2:7|3:14|4:1|5:1|6:0|7:0|8:330
|time:3,080416|1:2|2:10|3:9|4:1|5:1|6:0|7:0|8:330
|time:4,103369|1:2|2:12|3:16|4:1|5:1|6:0|7:0|8:330
|time:5,124374|1:2|2:13|3:17|4:1|5:1|6:0|7:0|8:330
|time:6,156564|1:2|2:12|3:17|4:1|5:1|6:0|7:0|8:330
|time:7,17335|1:2|2:10|3:18|4:1|5:1|6:0|7:0|8:330
|time:8,195803|1:2|2:14|3:17|4:1|5:1|6:0|7:0|8:330
|time:9,218789|1:2|2:20|3:20|4:1|5:1|6:0|7:0|8:330
|time:10,25289|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:11,28414|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:12,31575|1:2|2:13|3:14|4:1|5:1|6:0|7:0|8:330
|time:13,35667|1:2|2:15|3:21|4:1|5:1|6:0|7:0|8:330
|time:14,38183|1:2|2:18|3:16|4:1|5:1|6:0|7:0|8:330
|time:15,41861|1:2|2:18|3:14|4:1|5:1|6:0|7:0|8:330
