|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,036634|1:2|2:7|3:6|4:1|5:1|6:0|7:0|8:330
|time:2,054175|1:2|2:12|3:12|4:1|5:1|6:0|7:0|8:330
|time:3,109322|1:2|2:11|3:16|4:1|5:1|6:0|7:0|8:330
|time:4,150691|1:2|2:14|3:16|4:1|5:1|6:0|7:0|8:330
|time:5,192286|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:6,229121|1:2|2:14|3:20|4:1|5:1|6:0|7:0|8:330
|time:7,272385|1:2|2:10|3:20|4:1|5:1|6:0|7:0|8:330
|time:8,316314|1:2|2:14|3:19|4:1|5:1|6:0|7:0|8:330
|time:9,339273|1:2|2:12|3:18|4:1|5:1|6:0|7:0|8:330
|time:10,38198|1:2|2:9|3:18|4:1|5:1|6:0|7:0|8:330
|time:11,41674|1:2|2:11|3:13|4:1|5:1|6:0|7:0|8:330
|time:12,44666|1:2|2:12|3:14|4:1|5:1|6:0|7:0|8:330
|time:13,48711|1:2|2:16|3:20|4:1|5:1|6:0|7:0|8:330
|time:14,5208|1:2|2:17|3:15|4:1|5:1|6:0|7:0|8:330
|time:15,55661|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
|time:16,58243|1:2|2:15|3:16|4:1|5:1|6:0|7:0|8:330
|time:17,60758|1:2|2:13|3:13|4:1|5:1|6:0|7:0|8:330
|time:18,64446|1:2|2:15|3:11|4:1|5:1|6:0|7:0|8:330
|time:19,674|1:2|2:20|3:13|4:1|5:1|6:0|7:0|8:330
|time:20,70947|1:2|2:10|3:10|4:1|5:1|6:0|7:0|8:330
|time:21,74903|1:2|2:16|3:14|4:1|5:1|6:0|7:0|8:330
|time:22,78747|1:2|2:11|3:14|4:1|5:1|6:0|7:0|8:330
|time:23,81417|1:2|2:12|3:15|4:1|5:1|6:0|7:0|8:330
|time:24,85497|1:2|2:14|3:18|4:1|5:1|6:0|7:0|8:330
|time:25,87959|1:2|2:10|3:16|4:1|5:1|6:0|7:0|8:330
|time:26,91552|1:2|2:14|3:21|4:1|5:1|6:0|7:0|8:330
|time:27,94195|1:2|2:17|3:24|4:1|5:1|6:0|7:0|8:330
|time:28,98921|1:2|2:12|3:26|4:1|5:1|6:0|7:0|8:330
|time:30,01538|1:2|2:13|3:14|4:1|5:1|6:0|7:0|8:330
|time:31,043|1:2|2:11|3:14|4:1|5:1|6:0|7:0|8:330
|time:32,07898|1:2|2:17|3:14|4:1|5:1|6:0|7:0|8:330
|time:33,10863|1:2|2:16|3:13|4:1|5:1|6:0|7:0|8:330
|time:34,13653|1:2|2:13|3:15|4:1|5:1|6:0|7:0|8:330
|time:35,21179|1:2|2:13|3:19|4:1|5:1|6:0|7:0|8:330
|time:36,24381|1:2|2:17|3:21|4:1|5:1|6:0|7:0|8:330
|time:37,30072|1:2|2:19|3:17|4:1|5:1|6:0|7:0|8:332,6997
|time:38,33836|1:2|2:18|3:15|4:1|5:1|6:0|7:0|8:370,4964
|time:39,36244|1:2|2:17|3:13|4:1|5:1|6:0|7:0|8:375,8959
|time:40,39225|1:2|2:19|3:14|4:1|5:1|6:0|7:0|8:375,8959
|time:41,43409|1:2|2:17|3:12|4:1|5:1|6:0|7:0|8:375,8959
|time:42,47149|1:2|2:19|3:16|4:1|5:1|6:0|7:0|8:375,8959
|time:43,5041|1:2|2:18|3:19|4:1|5:1|6:0|7:0|8:375,8959
|time:44,53411|1:2|2:16|3:18|4:1|5:1|6:0|7:0|8:375,8959
|time:45,56999|1:2|2:17|3:20|4:1|5:1|6:0|7:0|8:375,8959
|time:46,59893|1:2|2:19|3:13|4:1|5:1|6:0|7:0|8:375,8959
|time:47,6348|1:2|2:20|3:13|4:1|5:1|6:0|7:0|8:375,8959
|time:48,67435|1:2|2:16|3:11|4:1|5:1|6:0|7:0|8:375,8959
|time:49,70662|1:2|2:19|3:14|4:1|5:1|6:0|7:0|8:375,8959
|time:50,74955|1:2|2:20|3:10|4:1|5:1|6:0|7:0|8:375,8959
|time:51,78647|1:2|2:20|3:15|4:1|5:1|6:0|7:0|8:375,8959
|time:52,82946|1:2|2:18|3:14|4:1|5:1|6:0|7:0|8:375,8959
|time:53,87602|1:2|2:21|3:16|4:1|5:1|6:0|7:0|8:375,8959
|time:54,90248|1:3|2:24|3:16|4:1|5:2|6:0|7:0|8:375,8959
|time:55,93095|1:3|2:22|3:12|4:1|5:2|6:0|7:0|8:375,8959
|time:56,96279|1:3|2:22|3:13|4:1|5:2|6:0|7:0|8:375,8959
|time:58,00022|1:3|2:30|3:10|4:1|5:2|6:0|7:0|8:375,8959
|time:59,03099|1:3|2:22|3:6|4:1|5:2|6:0|7:0|8:375,8959
|time:60,05511|1:3|2:24|3:12|4:1|5:2|6:0|7:0|8:375,8959
|time:61,08741|1:3|2:23|3:14|4:1|5:2|6:0|7:0|8:375,8959
|time:62,12077|1:3|2:14|3:13|4:1|5:2|6:0|7:0|8:375,8959
|time:63,15189|1:3|2:16|3:13|4:1|5:2|6:0|7:0|8:375,8959
|time:64,1761|1:3|2:20|3:17|4:1|5:2|6:0|7:0|8:375,8959
|time:65,21153|1:3|2:11|3:14|4:1|5:2|6:0|7:0|8:375,8959
|time:66,24954|1:3|2:11|3:20|4:1|5:2|6:0|7:0|8:375,8959
|time:67,28219|1:3|2:12|3:20|4:1|5:2|6:0|7:0|8:375,8959
|time:68,31064|1:3|2:16|3:20|4:1|5:2|6:0|7:0|8:375,8959
|time:69,33669|1:3|2:14|3:23|4:1|5:2|6:0|7:0|8:375,8959
|time:70,36617|1:3|2:10|3:24|4:1|5:2|6:0|7:0|8:375,8959
|time:71,40379|1:3|2:9|3:17|4:1|5:2|6:0|7:0|8:375,8959
|time:72,45095|1:3|2:15|3:18|4:1|5:2|6:0|7:0|8:375,8959
|time:73,49298|1:3|2:11|3:15|4:1|5:2|6:0|7:0|8:375,8959
|time:74,521|1:3|2:13|3:12|4:1|5:2|6:0|7:0|8:375,8959
|time:75,56692|1:3|2:12|3:14|4:1|5:2|6:0|7:0|8:375,8959
|time:76,60525|1:3|2:11|3:16|4:1|5:2|6:0|7:0|8:375,8959
|time:77,64458|1:3|2:15|3:13|4:1|5:2|6:0|7:0|8:375,8959
|time:78,68475|1:3|2:17|3:16|4:1|5:2|6:0|7:0|8:375,8959
|time:79,72476|1:3|2:15|3:14|4:1|5:2|6:0|7:0|8:375,8959
|time:80,75996|1:3|2:19|3:15|4:1|5:2|6:0|7:0|8:375,8959
|time:81,78632|1:3|2:23|3:17|4:1|5:2|6:0|7:0|8:375,8959
|time:82,815|1:3|2:22|3:17|4:1|5:2|6:0|7:0|8:375,8959
|time:83,84974|1:3|2:23|3:14|4:1|5:2|6:0|7:0|8:375,8959
|time:84,88678|1:3|2:16|3:11|4:1|5:2|6:0|7:0|8:375,8959
|time:85,91536|1:3|2:19|3:9|4:1|5:2|6:0|7:0|8:375,8959
|time:86,94025|1:3|2:10|3:13|4:1|5:2|6:0|7:0|8:375,8959
|time:87,98236|1:3|2:15|3:13|4:1|5:2|6:0|7:0|8:375,8959
|time:89,02094|1:3|2:16|3:15|4:1|5:2|6:0|7:0|8:375,8959
|time:90,05023|1:3|2:17|3:15|4:1|5:2|6:0|7:0|8:375,8959
|time:91,08246|1:3|2:11|3:15|4:1|5:2|6:0|7:0|8:375,8959
|time:92,11752|1:3|2:10|3:18|4:1|5:2|6:0|7:0|8:375,8959
|time:93,15884|1:3|2:9|3:19|4:1|5:2|6:0|7:0|8:375,8959
|time:94,19498|1:3|2:9|3:12|4:1|5:2|6:0|7:0|8:375,8959
|time:95,2363|1:3|2:12|3:11|4:1|5:2|6:0|7:0|8:375,8959
|time:96,26732|1:3|2:11|3:12|4:1|5:2|6:0|7:0|8:375,8959
|time:97,31169|1:3|2:7|3:14|4:1|5:2|6:0|7:0|8:375,8959
|time:98,35647|1:3|2:8|3:13|4:1|5:2|6:0|7:0|8:375,8959
|time:99,39558|1:3|2:12|3:13|4:1|5:2|6:0|7:0|8:375,8959
|time:100,4186|1:3|2:11|3:16|4:1|5:2|6:0|7:0|8:375,8959
|time:101,4481|1:3|2:10|3:16|4:1|5:2|6:0|7:0|8:375,8959
|time:102,487|1:3|2:12|3:17|4:1|5:2|6:0|7:0|8:375,8959
|time:103,5163|1:3|2:13|3:15|4:1|5:2|6:0|7:0|8:375,8959
|time:104,5592|1:3|2:9|3:13|4:1|5:2|6:0|7:0|8:375,8959
|time:105,5981|1:3|2:14|3:17|4:1|5:2|6:0|7:0|8:375,8959
|time:106,639|1:3|2:13|3:14|4:1|5:2|6:0|7:0|8:375,8959
|time:107,6624|1:3|2:12|3:12|4:1|5:2|6:0|7:0|8:375,8959
|time:108,6899|1:3|2:10|3:15|4:1|5:2|6:0|7:0|8:375,8959
