|time:0|1:2|2:1|3:1|4:1|5:1|6:0|7:0|8:330
|time:1,02757|1:2|2:3|3:2|4:1|5:1|6:0|7:0|8:330
|time:2,365766|1:2|2:11|3:8|4:1|5:1|6:0|7:0|8:330
|time:3,392754|1:2|2:12|3:9|4:1|5:1|6:0|7:0|8:330
|time:4,42202|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:5,442004|1:2|2:20|3:15|4:1|5:1|6:0|7:0|8:302,9013
|time:6,462341|1:2|2:21|3:19|4:1|5:1|6:0|7:0|8:302,3912
|time:7,490638|1:2|2:22|3:16|4:1|5:1|6:0|7:0|8:301,877
|time:8,515881|1:2|2:20|3:24|4:1|5:1|6:0|7:0|8:301,3644
|time:9,538815|1:2|2:12|3:21|4:1|5:1|6:0|7:0|8:300,8529
|time:10,57124|1:2|2:18|3:19|4:1|5:1|6:0|7:0|8:300,3367
|time:11,59233|1:2|2:17|3:21|4:1|5:1|6:0|7:0|8:302,2065
|time:12,62275|1:2|2:13|3:22|4:1|5:1|6:0|7:0|8:302,0777
|time:13,64643|1:2|2:16|3:25|4:1|5:1|6:0|7:0|8:301,9498
|time:14,66493|1:2|2:14|3:19|4:1|5:1|6:0|7:0|8:301,8225
|time:15,68445|1:2|2:11|3:15|4:1|5:1|6:0|7:0|8:301,695
|time:16,70417|1:2|2:19|3:18|4:1|5:1|6:0|7:0|8:301,5676
|time:17,72343|1:2|2:15|3:19|4:1|5:1|6:0|7:0|8:299,8803
|time:18,75152|1:2|2:14|3:16|4:1|5:1|6:0|7:0|8:299,6233
|time:19,79199|1:2|2:16|3:19|4:1|5:1|6:0|7:0|8:357,5447
|time:20,82355|1:2|2:16|3:24|4:1|5:1|6:0|7:0|8:357,1579
|time:21,85542|1:2|2:14|3:16|4:1|5:1|6:0|7:0|8:356,771
|time:22,93765|1:2|2:12|3:20|4:1|5:1|6:0|7:0|8:356,3651
|time:23,98147|1:2|2:18|3:16|4:1|5:1|6:0|7:0|8:355,9737
|time:25,00958|1:2|2:13|3:16|4:1|5:1|6:0|7:0|8:355,5882
|time:26,03878|1:2|2:13|3:18|4:1|5:1|6:0|7:0|8:355,2022
|time:27,07035|1:2|2:15|3:19|4:1|5:1|6:0|7:0|8:354,8154
|time:28,10092|1:2|2:15|3:19|4:1|5:1|6:0|7:0|8:354,4289
|time:29,14598|1:2|2:14|3:22|4:1|5:1|6:0|7:0|8:354,037
|time:30,17282|1:2|2:18|3:22|4:1|5:1|6:0|7:0|8:353,6519
|time:31,23051|1:2|2:18|3:25|4:1|5:1|6:0|7:0|8:353,2553
|time:32,26102|1:2|2:17|3:19|4:1|5:1|6:0|7:0|8:352,8689
|time:33,29163|1:2|2:16|3:21|4:1|5:1|6:0|7:0|8:352,4824
|time:34,31738|1:2|2:16|3:21|4:1|5:1|6:0|7:0|8:352,0977
|time:35,36384|1:2|2:15|3:23|4:1|5:1|6:0|7:0|8:351,7053
|time:36,38795|1:2|2:16|3:15|4:1|5:1|6:0|7:0|8:351,3213
|time:37,41524|1:2|2:19|3:17|4:1|5:1|6:0|7:0|8:350,936
|time:38,46604|1:2|2:12|3:17|4:1|5:1|6:0|7:0|8:350,542
|time:39,49682|1:2|2:15|3:15|4:1|5:1|6:0|7:0|8:350,1554
|time:40,5303|1:2|2:16|3:15|4:1|5:1|6:0|7:0|8:349,7679
|time:41,56762|1:2|2:14|3:8|4:1|5:1|6:0|7:0|8:349,3789
|time:42,60402|1:2|2:18|3:14|4:1|5:1|6:0|7:0|8:348,9902
|time:43,62818|1:2|2:16|3:15|4:1|5:1|6:0|7:0|8:348,6062
|time:44,65153|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:348,2224
