|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,02523|1:2|2:2|3:2|4:1|5:1|6:0|7:0|8:330
|time:2,058088|1:2|2:5|3:6|4:1|5:1|6:0|7:0|8:330
|time:3,089049|1:2|2:13|3:11|4:1|5:1|6:0|7:0|8:330
|time:4,106898|1:2|2:17|3:11|4:1|5:1|6:0|7:0|8:330
|time:5,12669|1:2|2:20|3:13|4:1|5:1|6:0|7:0|8:330
|time:6,216136|1:2|2:23|3:16|4:1|5:1|6:0|7:0|8:330
|time:7,254884|1:2|2:24|3:23|4:1|5:1|6:0|7:0|8:330
|time:8,302675|1:2|2:15|3:15|4:1|5:1|6:0|7:0|8:330
|time:9,34048|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:10,37945|1:2|2:15|3:16|4:1|5:1|6:0|7:0|8:330
|time:11,42286|1:2|2:16|3:18|4:1|5:1|6:0|7:0|8:330
|time:12,45538|1:2|2:13|3:17|4:1|5:1|6:0|7:0|8:330
|time:13,47913|1:2|2:11|3:18|4:1|5:1|6:0|7:0|8:330
|time:14,50299|1:2|2:14|3:20|4:1|5:1|6:0|7:0|8:330
|time:15,54878|1:2|2:11|3:20|4:1|5:1|6:0|7:0|8:330
|time:16,59649|1:2|2:12|3:19|4:1|5:1|6:0|7:0|8:330
|time:17,64124|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
|time:18,67416|1:2|2:7|3:15|4:1|5:1|6:0|7:0|8:330
|time:19,7019|1:2|2:10|3:14|4:1|5:1|6:0|7:0|8:330
|time:20,74998|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:21,80465|1:2|2:12|3:16|4:1|5:1|6:0|7:0|8:330
|time:22,84322|1:2|2:10|3:14|4:1|5:1|6:0|7:0|8:330
|time:23,88401|1:2|2:13|3:11|4:1|5:1|6:0|7:0|8:330
|time:24,92225|1:2|2:15|3:12|4:1|5:1|6:0|7:0|8:330
|time:25,95025|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
|time:27,10438|1:2|2:15|3:12|4:1|5:1|6:0|7:0|8:330
|time:28,13381|1:2|2:13|3:16|4:1|5:1|6:0|7:0|8:330
