|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,025327|1:2|2:3|3:6|4:1|5:1|6:0|7:0|8:330
|time:2,04636|1:2|2:10|3:13|4:1|5:1|6:0|7:0|8:330
|time:3,065032|1:2|2:11|3:15|4:1|5:1|6:0|7:0|8:330
|time:4,089128|1:2|2:12|3:18|4:1|5:1|6:0|7:0|8:330
|time:5,119722|1:2|2:20|3:19|4:1|5:1|6:0|7:0|8:330
|time:6,141833|1:2|2:20|3:23|4:1|5:1|6:0|7:0|8:330
|time:7,165721|1:2|2:15|3:20|4:1|5:1|6:0|7:0|8:302,7643
|time:8,201057|1:2|2:15|3:23|4:1|5:1|6:0|7:0|8:302,2466
|time:9,220211|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:301,737
|time:10,24529|1:2|2:15|3:23|4:1|5:1|6:0|7:0|8:301,2245
|time:11,26997|1:2|2:16|3:25|4:1|5:1|6:0|7:0|8:300,7122
|time:12,28981|1:2|2:18|3:20|4:1|5:1|6:0|7:0|8:300,2022
|time:13,32023|1:2|2:20|3:22|4:1|5:1|6:0|7:0|8:299,687
|time:14,34074|1:2|2:20|3:21|4:1|5:1|6:0|7:0|8:299,1768
|time:15,35774|1:2|2:13|3:16|4:1|5:1|6:0|7:0|8:298,6683
|time:16,3784|1:2|2:17|3:23|4:1|5:1|6:0|7:0|8:298,1579
|time:17,39791|1:2|2:24|3:18|4:1|5:1|6:0|7:0|8:297,6482
|time:18,42844|1:2|2:15|3:15|4:1|5:1|6:0|7:0|8:297,1329
|time:19,4498|1:2|2:16|3:21|4:1|5:1|6:0|7:0|8:296,6222
|time:20,47398|1:2|2:9|3:21|4:1|5:1|6:0|7:0|8:296,1101
|time:21,49274|1:2|2:10|3:24|4:1|5:1|6:0|7:0|8:295,6008
|time:22,51771|1:2|2:14|3:25|4:1|5:1|6:0|7:0|8:295,0883
|time:23,54155|1:2|2:8|3:18|4:1|5:1|6:0|7:0|8:294,5764
|time:24,57282|1:2|2:13|3:17|4:1|5:1|6:0|7:0|8:294,0607
|time:25,60156|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:293,5464
|time:26,63284|1:2|2:16|3:19|4:1|5:1|6:0|7:0|8:293,0307
|time:27,66696|1:2|2:13|3:24|4:1|5:1|6:0|7:0|8:292,5136
|time:28,68829|1:2|2:14|3:23|4:1|5:1|6:0|7:0|8:292,003
|time:29,7258|1:2|2:13|3:13|4:1|5:1|6:0|7:0|8:291,4842
