|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,025366|1:2|2:4|3:3|4:1|5:1|6:0|7:0|8:330
|time:2,048612|1:2|2:8|3:9|4:1|5:1|6:0|7:0|8:330
|time:3,082119|1:2|2:14|3:13|4:1|5:1|6:0|7:0|8:330
|time:4,097397|1:2|2:18|3:11|4:1|5:1|6:0|7:0|8:330
|time:5,11253|1:2|2:11|3:11|4:1|5:1|6:0|7:0|8:330
|time:6,144238|1:2|2:8|3:10|4:1|5:1|6:0|7:0|8:330
|time:7,168832|1:2|2:10|3:13|4:1|5:1|6:0|7:0|8:330
|time:8,191275|1:2|2:7|3:12|4:1|5:1|6:0|7:0|8:330
|time:9,220698|1:2|2:7|3:13|4:1|5:1|6:0|7:0|8:330
|time:10,2459|1:2|2:8|3:10|4:1|5:1|6:0|7:0|8:330
|time:11,26787|1:2|2:14|3:18|4:1|5:1|6:0|7:0|8:330
|time:12,29327|1:2|2:10|3:22|4:1|5:1|6:0|7:0|8:330
|time:13,32225|1:2|2:17|3:23|4:1|5:1|6:0|7:0|8:330
|time:14,35263|1:2|2:11|3:24|4:1|5:1|6:0|7:0|8:330
|time:15,37023|1:2|2:8|3:18|4:1|5:1|6:0|7:0|8:330
|time:16,40266|1:2|2:13|3:20|4:1|5:1|6:0|7:0|8:330
|time:17,43417|1:2|2:14|3:21|4:1|5:1|6:0|7:0|8:330
|time:18,4529|1:2|2:15|3:19|4:1|5:1|6:0|7:0|8:330
|time:19,48902|1:2|2:20|3:18|4:1|5:1|6:0|7:0|8:330
|time:20,51537|1:2|2:22|3:16|4:1|5:1|6:0|7:0|8:330
|time:21,54538|1:2|2:25|3:19|4:1|5:1|6:0|7:0|8:330
|time:22,61791|1:2|2:26|3:21|4:1|5:1|6:0|7:0|8:330
|time:23,64327|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:24,66789|1:2|2:19|3:21|4:1|5:1|6:0|7:0|8:330
|time:25,69627|1:2|2:24|3:22|4:1|5:1|6:0|7:0|8:330
|time:26,71674|1:2|2:15|3:20|4:1|5:1|6:0|7:0|8:330
|time:28,24171|1:2|2:18|3:23|4:1|5:1|6:0|7:0|8:330
|time:29,25779|1:2|2:10|3:20|4:1|5:1|6:0|7:0|8:330
|time:30,28818|1:2|2:14|3:20|4:1|5:1|6:0|7:0|8:330
|time:31,30713|1:2|2:10|3:17|4:1|5:1|6:0|7:0|8:330
|time:32,32539|1:2|2:11|3:20|4:1|5:1|6:0|7:0|8:330
|time:33,35072|1:2|2:18|3:14|4:1|5:1|6:0|7:0|8:330
|time:34,38183|1:2|2:19|3:18|4:1|5:1|6:0|7:0|8:330
|time:35,39976|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
|time:36,4319|1:2|2:10|3:20|4:1|5:1|6:0|7:0|8:330
|time:37,45652|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:38,48592|1:2|2:21|3:17|4:1|5:1|6:0|7:0|8:330
|time:39,51015|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:40,53349|1:2|2:19|3:11|4:1|5:1|6:0|7:0|8:330
|time:41,55222|1:2|2:22|3:19|4:1|5:1|6:0|7:0|8:330
|time:42,57497|1:2|2:19|3:11|4:1|5:1|6:0|7:0|8:330
|time:43,59529|1:2|2:17|3:13|4:1|5:1|6:0|7:0|8:330
|time:44,61506|1:2|2:22|3:13|4:1|5:1|6:0|7:0|8:330
