|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,032881|1:2|2:8|3:5|4:1|5:1|6:0|7:0|8:330
|time:2,052713|1:2|2:10|3:9|4:1|5:1|6:0|7:0|8:330
|time:3,084563|1:2|2:13|3:10|4:1|5:1|6:0|7:0|8:330
|time:4,115245|1:2|2:15|3:16|4:1|5:1|6:0|7:0|8:330
|time:5,133993|1:2|2:17|3:15|4:1|5:1|6:0|7:0|8:330
|time:6,166016|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:7,192923|1:2|2:14|3:16|4:1|5:1|6:0|7:0|8:330
|time:8,212528|1:2|2:9|3:17|4:1|5:1|6:0|7:0|8:330
|time:9,243217|1:2|2:13|3:13|4:1|5:1|6:0|7:0|8:330
|time:10,27126|1:3|2:12|3:18|4:2|5:1|6:0|7:0|8:330
|time:11,30275|1:3|2:12|3:22|4:2|5:1|6:0|7:0|8:330
|time:12,33533|1:3|2:10|3:19|4:2|5:1|6:0|7:0|8:330
|time:13,35548|1:2|2:8|3:22|4:1|5:1|6:0|7:0|8:330
|time:14,38412|1:5|2:10|3:28|4:4|5:1|6:0|7:0|8:330
|time:15,40864|1:5|2:15|3:23|4:4|5:1|6:0|7:0|8:330
|time:16,43351|1:9|2:12|3:20|4:8|5:1|6:0|7:0|8:330
|time:17,46921|1:8|2:13|3:20|4:7|5:1|6:0|7:0|8:330
|time:18,50349|1:6|2:13|3:21|4:5|5:1|6:0|7:0|8:330
|time:19,53788|1:2|2:12|3:19|4:1|5:1|6:0|7:0|8:330
|time:20,56709|1:3|2:11|3:17|4:2|5:1|6:0|7:0|8:330
|time:21,59372|1:6|2:6|3:17|4:5|5:1|6:0|7:0|8:330
|time:22,62664|1:8|2:8|3:22|4:7|5:1|6:0|7:0|8:330
|time:23,65706|1:9|2:9|3:19|4:8|5:1|6:0|7:0|8:330
|time:24,67946|1:11|2:12|3:21|4:10|5:1|6:0|7:0|8:330
|time:25,72012|1:9|2:15|3:18|4:8|5:1|6:0|7:0|8:330
|time:26,76343|1:7|2:15|3:18|4:6|5:1|6:0|7:0|8:330
|time:27,79563|1:4|2:18|3:19|4:3|5:1|6:0|7:0|8:330
|time:28,81951|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
