|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,029999|1:2|2:5|3:1|4:1|5:1|6:0|7:0|8:330
|time:2,069499|1:2|2:11|3:7|4:1|5:1|6:0|7:0|8:330
|time:3,10454|1:2|2:19|3:10|4:1|5:1|6:0|7:0|8:330
|time:4,509018|1:2|2:18|3:13|4:1|5:1|6:0|7:0|8:330
|time:5,527806|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:6,595348|1:2|2:19|3:12|4:1|5:1|6:0|7:0|8:330
|time:7,623309|1:2|2:21|3:18|4:1|5:1|6:0|7:0|8:330
|time:8,666564|1:2|2:25|3:14|4:1|5:1|6:0|7:0|8:330
|time:9,703634|1:2|2:23|3:14|4:1|5:1|6:0|7:0|8:330
|time:10,7422|1:2|2:15|3:14|4:1|5:1|6:0|7:0|8:330
|time:11,77542|1:2|2:20|3:13|4:1|5:1|6:0|7:0|8:330
|time:12,81451|1:2|2:20|3:16|4:1|5:1|6:0|7:0|8:330
|time:13,83877|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:14,86422|1:2|2:17|3:13|4:1|5:1|6:0|7:0|8:330
|time:15,89105|1:2|2:15|3:15|4:1|5:1|6:0|7:0|8:330
|time:16,91932|1:2|2:14|3:10|4:1|5:1|6:0|7:0|8:330
|time:17,95966|1:2|2:16|3:17|4:1|5:1|6:0|7:0|8:330
|time:18,98063|1:2|2:11|3:15|4:1|5:1|6:0|7:0|8:330
|time:20,00891|1:2|2:16|3:14|4:1|5:1|6:0|7:0|8:330
|time:21,0504|1:2|2:17|3:14|4:1|5:1|6:0|7:0|8:330
|time:22,07337|1:2|2:18|3:17|4:1|5:1|6:0|7:0|8:330
|time:23,10887|1:2|2:23|3:19|4:1|5:1|6:0|7:0|8:330
|time:24,14714|1:2|2:18|3:20|4:1|5:1|6:0|7:0|8:330
|time:25,17116|1:2|2:17|3:20|4:1|5:1|6:0|7:0|8:330
|time:26,20902|1:2|2:18|3:26|4:1|5:1|6:0|7:0|8:330
|time:27,24772|1:2|2:17|3:26|4:1|5:1|6:0|7:0|8:330
|time:28,41511|1:2|2:16|3:15|4:1|5:1|6:0|7:0|8:330
|time:29,43586|1:2|2:17|3:16|4:1|5:1|6:0|7:0|8:330
|time:30,48964|1:2|2:19|3:18|4:1|5:1|6:0|7:0|8:330
|time:31,52194|1:2|2:17|3:23|4:1|5:1|6:0|7:0|8:330
|time:32,57732|1:2|2:15|3:19|4:1|5:1|6:0|7:0|8:330
|time:33,60684|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:34,65247|1:2|2:15|3:20|4:1|5:1|6:0|7:0|8:330
|time:35,68684|1:2|2:17|3:21|4:1|5:1|6:0|7:0|8:330
|time:36,73988|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:37,7828|1:2|2:12|3:17|4:1|5:1|6:0|7:0|8:330
|time:38,81814|1:2|2:14|3:22|4:1|5:1|6:0|7:0|8:330
|time:39,86698|1:2|2:17|3:23|4:1|5:1|6:0|7:0|8:330
|time:40,90856|1:2|2:18|3:28|4:1|5:1|6:0|7:0|8:330
|time:41,95572|1:2|2:15|3:19|4:1|5:1|6:0|7:0|8:330
|time:42,97821|1:2|2:16|3:18|4:1|5:1|6:0|7:0|8:330
|time:44,01577|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
|time:45,06369|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:46,09407|1:2|2:16|3:16|4:1|5:1|6:0|7:0|8:330
|time:47,12176|1:2|2:20|3:18|4:1|5:1|6:0|7:0|8:330
|time:48,16023|1:2|2:21|3:19|4:1|5:1|6:0|7:0|8:330
|time:49,21604|1:2|2:19|3:16|4:1|5:1|6:0|7:0|8:330
|time:50,24813|1:2|2:24|3:18|4:1|5:1|6:0|7:0|8:330
|time:51,2812|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:52,31121|1:2|2:17|3:17|4:1|5:1|6:0|7:0|8:330
|time:53,35809|1:2|2:17|3:19|4:1|5:1|6:0|7:0|8:330
|time:54,39412|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
