|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,033389|1:2|2:5|3:6|4:1|5:1|6:0|7:0|8:330
|time:2,060876|1:2|2:5|3:10|4:1|5:1|6:0|7:0|8:330
|time:3,095723|1:2|2:4|3:15|4:1|5:1|6:0|7:0|8:330
|time:4,121897|1:2|2:9|3:12|4:1|5:1|6:0|7:0|8:330
|time:5,146775|1:2|2:11|3:15|4:1|5:1|6:0|7:0|8:330
|time:6,171977|1:2|2:12|3:19|4:1|5:1|6:0|7:0|8:330
|time:7,19729|1:2|2:14|3:22|4:1|5:1|6:0|7:0|8:330
|time:8,216106|1:2|2:19|3:21|4:1|5:1|6:0|7:0|8:330
|time:9,233042|1:2|2:16|3:19|4:1|5:1|6:0|7:0|8:330
|time:10,26094|1:2|2:19|3:18|4:1|5:1|6:0|7:0|8:330
|time:11,28187|1:2|2:13|3:15|4:1|5:1|6:0|7:0|8:330
|time:12,30279|1:2|2:20|3:13|4:1|5:1|6:0|7:0|8:330
|time:13,34345|1:2|2:18|3:18|4:1|5:1|6:0|7:0|8:330
|time:14,37135|1:2|2:18|3:15|4:1|5:1|6:0|7:0|8:330
|time:15,39223|1:2|2:15|3:13|4:1|5:1|6:0|7:0|8:330
|time:16,41889|1:2|2:17|3:18|4:1|5:1|6:0|7:0|8:330
|time:17,44025|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:18,47037|1:2|2:12|3:14|4:1|5:1|6:0|7:0|8:330
|time:19,49738|1:2|2:15|3:15|4:1|5:1|6:0|7:0|8:330
|time:20,5271|1:2|2:15|3:15|4:1|5:1|6:0|7:0|8:330
|time:21,54473|1:2|2:14|3:17|4:1|5:1|6:0|7:0|8:330
|time:22,56937|1:2|2:13|3:22|4:1|5:1|6:0|7:0|8:330
|time:23,59639|1:2|2:14|3:18|4:1|5:1|6:0|7:0|8:330
|time:24,62982|1:2|2:16|3:14|4:1|5:1|6:0|7:0|8:330
|time:25,65645|1:2|2:18|3:17|4:1|5:1|6:0|7:0|8:330
|time:26,67587|1:2|2:13|3:18|4:1|5:1|6:0|7:0|8:330
|time:27,70736|1:2|2:17|3:16|4:1|5:1|6:0|7:0|8:330
|time:28,72586|1:2|2:20|3:20|4:1|5:1|6:0|7:0|8:330
