|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,03695|1:2|2:5|3:5|4:1|5:1|6:0|7:0|8:330
|time:2,061379|1:2|2:11|3:8|4:1|5:1|6:0|7:0|8:330
|time:3,081388|1:2|2:21|3:12|4:1|5:1|6:0|7:0|8:330
|time:4,107631|1:2|2:20|3:18|4:1|5:1|6:0|7:0|8:330
|time:5,140446|1:2|2:18|3:18|4:1|5:1|6:0|7:0|8:330
|time:6,16631|1:2|2:16|3:19|4:1|5:1|6:0|7:0|8:330
|time:7,19847|1:2|2:18|3:16|4:1|5:1|6:0|7:0|8:330
|time:8,227198|1:2|2:20|3:15|4:1|5:1|6:0|7:0|8:330
|time:9,246513|1:2|2:16|3:14|4:1|5:1|6:0|7:0|8:330
|time:10,28065|1:2|2:17|3:22|4:1|5:1|6:0|7:0|8:330
|time:11,32365|1:2|2:15|3:19|4:1|5:1|6:0|7:0|8:330
|time:12,37119|1:2|2:13|3:16|4:1|5:1|6:0|7:0|8:330
|time:13,41571|1:2|2:16|3:10|4:1|5:1|6:0|7:0|8:330
|time:14,4587|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
|time:15,49984|1:2|2:20|3:15|4:1|5:1|6:0|7:0|8:330
|time:16,52561|1:2|2:15|3:16|4:1|5:1|6:0|7:0|8:330
|time:17,56187|1:2|2:13|3:17|4:1|5:1|6:0|7:0|8:330
|time:18,58931|1:2|2:12|3:19|4:1|5:1|6:0|7:0|8:386,6949
|time:19,63083|1:2|2:12|3:23|4:1|5:1|6:0|7:0|8:400,1937
|time:20,66558|1:2|2:15|3:14|4:1|5:1|6:0|7:0|8:400,1937
|time:21,698|1:2|2:16|3:19|4:1|5:1|6:0|7:0|8:400,1937
|time:22,72801|1:2|2:14|3:15|4:1|5:1|6:0|7:0|8:400,1937
|time:23,76162|1:2|2:17|3:15|4:1|5:1|6:0|7:0|8:400,1937
|time:24,81297|1:2|2:21|3:15|4:1|5:1|6:0|7:0|8:367,7967
|time:25,84093|1:2|2:18|3:17|4:1|5:1|6:0|7:0|8:367,7967
|time:26,88742|1:2|2:19|3:18|4:1|5:1|6:0|7:0|8:367,7967
|time:27,93114|1:2|2:14|3:15|4:1|5:1|6:0|7:0|8:367,7967
|time:28,97827|1:2|2:13|3:15|4:1|5:1|6:0|7:0|8:367,7967
|time:30,01409|1:2|2:12|3:13|4:1|5:1|6:0|7:0|8:367,7967
|time:31,04305|1:2|2:22|3:13|4:1|5:1|6:0|7:0|8:367,7967
|time:32,08563|1:2|2:16|3:12|4:1|5:1|6:0|7:0|8:367,7967
|time:33,11472|1:2|2:19|3:14|4:1|5:1|6:0|7:0|8:367,7967
|time:34,13984|1:2|2:13|3:12|4:1|5:1|6:0|7:0|8:367,7967
|time:35,16151|1:2|2:8|3:15|4:1|5:1|6:0|7:0|8:367,7967
|time:36,1857|1:2|2:12|3:19|4:1|5:1|6:0|7:0|8:367,7967
