|time:0|1:2|2:1|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,021827|1:2|2:4|3:1|4:1|5:1|6:0|7:0|8:330
|time:2,046616|1:2|2:13|3:8|4:1|5:1|6:0|7:0|8:330
|time:3,078592|1:2|2:15|3:12|4:1|5:1|6:0|7:0|8:330
|time:4,11162|1:2|2:11|3:16|4:1|5:1|6:0|7:0|8:330
|time:5,129024|1:2|2:16|3:17|4:1|5:1|6:0|7:0|8:330
|time:6,156877|1:2|2:11|3:18|4:1|5:1|6:0|7:0|8:330
|time:7,441092|1:2|2:8|3:14|4:1|5:1|6:0|7:0|8:330
|time:8,467331|1:2|2:8|3:17|4:1|5:1|6:0|7:0|8:330
|time:9,491928|1:2|2:12|3:17|4:1|5:1|6:0|7:0|8:330
|time:10,51375|1:2|2:12|3:16|4:1|5:1|6:0|7:0|8:330
|time:11,53424|1:2|2:12|3:16|4:1|5:1|6:0|7:0|8:330
|time:12,9593|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:13,99983|1:2|2:18|3:14|4:1|5:1|6:0|7:0|8:330
|time:15,03889|1:2|2:16|3:17|4:1|5:1|6:0|7:0|8:330
|time:16,0636|1:2|2:14|3:18|4:1|5:1|6:0|7:0|8:330
|time:17,0968|1:2|2:18|3:17|4:1|5:1|6:0|7:0|8:330
|time:18,13084|1:2|2:13|3:15|4:1|5:1|6:0|7:0|8:330
