|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0
|time:1,02322|1:2|2:2|3:2|4:1|5:1|6:0|7:0
|time:2,041931|1:2|2:9|3:10|4:1|5:1|6:0|7:0
|time:3,071788|1:2|2:10|3:9|4:1|5:1|6:0|7:0
|time:4,09974|1:2|2:9|3:8|4:1|5:1|6:0|7:0
|time:5,126465|1:2|2:8|3:13|4:1|5:1|6:0|7:0
|time:6,151175|1:2|2:10|3:9|4:1|5:1|6:0|7:0
|time:7,238644|1:2|2:12|3:15|4:1|5:1|6:0|7:0
|time:8,270122|1:2|2:13|3:18|4:1|5:1|6:0|7:0
|time:9,307573|1:2|2:17|3:18|4:1|5:1|6:0|7:0
|time:10,35084|1:2|2:16|3:19|4:1|5:1|6:0|7:0
|time:11,37968|1:2|2:19|3:14|4:1|5:1|6:0|7:0
|time:12,41799|1:2|2:24|3:14|4:1|5:1|6:0|7:0
|time:13,45441|1:2|2:23|3:16|4:1|5:1|6:0|7:0
|time:14,4856|1:2|2:20|3:17|4:1|5:1|6:0|7:0
|time:15,5251|1:2|2:21|3:17|4:1|5:1|6:0|7:0
|time:16,56414|1:2|2:18|3:23|4:1|5:1|6:0|7:0
|time:17,58913|1:2|2:17|3:21|4:1|5:1|6:0|7:0
|time:18,62732|1:2|2:20|3:22|4:1|5:1|6:0|7:0
|time:19,65037|1:2|2:19|3:22|4:1|5:1|6:0|7:0
|time:20,69351|1:2|2:20|3:22|4:1|5:1|6:0|7:0
|time:21,74106|1:2|2:24|3:20|4:1|5:1|6:0|7:0
|time:22,77517|1:2|2:17|3:14|4:1|5:1|6:0|7:0
|time:23,83488|1:2|2:17|3:16|4:1|5:1|6:0|7:0
|time:24,89164|1:2|2:16|3:13|4:1|5:1|6:0|7:0
|time:25,93304|1:2|2:18|3:17|4:1|5:1|6:0|7:0
|time:26,98346|1:2|2:16|3:19|4:1|5:1|6:0|7:0
|time:28,02414|1:2|2:11|3:17|4:1|5:1|6:0|7:0
|time:29,09391|1:2|2:12|3:20|4:1|5:1|6:0|7:0
|time:30,1213|1:2|2:8|3:18|4:1|5:1|6:0|7:0
|time:31,15354|1:2|2:8|3:20|4:1|5:1|6:0|7:0
|time:32,23261|1:2|2:9|3:16|4:1|5:1|6:0|7:0
|time:33,256|1:2|2:10|3:17|4:1|5:1|6:0|7:0
|time:34,30061|1:2|2:9|3:19|4:1|5:1|6:0|7:0
|time:35,37663|1:2|2:11|3:21|4:1|5:1|6:0|7:0
|time:36,40733|1:2|2:11|3:16|4:1|5:1|6:0|7:0
|time:37,51169|1:2|2:13|3:16|4:1|5:1|6:0|7:0
|time:38,59571|1:2|2:11|3:18|4:1|5:1|6:0|7:0
|time:39,66074|1:2|2:13|3:15|4:1|5:1|6:0|7:0
|time:40,70889|1:2|2:18|3:12|4:1|5:1|6:0|7:0
|time:41,77071|1:2|2:11|3:12|4:1|5:1|6:0|7:0
|time:42,82815|1:2|2:14|3:12|4:1|5:1|6:0|7:0
|time:43,8701|1:2|2:16|3:12|4:1|5:1|6:0|7:0
|time:45,27587|1:2|2:16|3:13|4:1|5:1|6:0|7:0
|time:46,31208|1:2|2:13|3:10|4:1|5:1|6:0|7:0
|time:47,35321|1:2|2:12|3:10|4:1|5:1|6:0|7:0
|time:48,38386|1:2|2:14|3:14|4:1|5:1|6:0|7:0
|time:49,42547|1:2|2:13|3:17|4:1|5:1|6:0|7:0
|time:50,80904|1:2|2:12|3:14|4:1|5:1|6:0|7:0
|time:51,84198|1:3|2:15|3:13|4:2|5:1|6:0|7:0
|time:52,89524|1:3|2:16|3:12|4:2|5:1|6:0|7:0
|time:53,95322|1:3|2:15|3:17|4:2|5:1|6:0|7:0
|time:54,99327|1:3|2:17|3:22|4:2|5:1|6:0|7:0
|time:56,04758|1:3|2:20|3:19|4:2|5:1|6:0|7:0
|time:57,07684|1:3|2:17|3:16|4:2|5:1|6:0|7:0
|time:58,11251|1:3|2:18|3:19|4:2|5:1|6:0|7:0
|time:59,14449|1:3|2:20|3:19|4:2|5:1|6:0|7:0
|time:60,17611|1:3|2:17|3:13|4:2|5:1|6:0|7:0
|time:61,2055|1:3|2:13|3:14|4:2|5:1|6:0|7:0
|time:62,30995|1:3|2:18|3:15|4:2|5:1|6:0|7:0
|time:63,35505|1:3|2:13|3:14|4:2|5:1|6:0|7:0
|time:64,43309|1:3|2:10|3:13|4:2|5:1|6:0|7:0
|time:65,59061|1:3|2:12|3:14|4:2|5:1|6:0|7:0
|time:66,62022|1:3|2:14|3:15|4:2|5:1|6:0|7:0
|time:67,65987|1:3|2:10|3:16|4:2|5:1|6:0|7:0
|time:68,68368|1:3|2:12|3:23|4:2|5:1|6:0|7:0
|time:69,71799|1:3|2:13|3:18|4:2|5:1|6:0|7:0
|time:70,75013|1:3|2:14|3:18|4:2|5:1|6:0|7:0
|time:71,78509|1:3|2:15|3:21|4:2|5:1|6:0|7:0
|time:72,90632|1:3|2:13|3:19|4:2|5:1|6:0|7:0
|time:73,94175|1:3|2:15|3:17|4:2|5:1|6:0|7:0
|time:74,97391|1:3|2:19|3:15|4:2|5:1|6:0|7:0
|time:76,01656|1:3|2:20|3:17|4:2|5:1|6:0|7:0
|time:77,05798|1:3|2:13|3:15|4:2|5:1|6:0|7:0
|time:78,10224|1:3|2:10|3:14|4:2|5:1|6:0|7:0
|time:79,21432|1:3|2:14|3:15|4:2|5:1|6:0|7:0
|time:80,29726|1:3|2:13|3:18|4:2|5:1|6:0|7:0
|time:81,33578|1:3|2:15|3:11|4:2|5:1|6:0|7:0
|time:82,3588|1:3|2:13|3:14|4:2|5:1|6:0|7:0
|time:83,39172|1:3|2:11|3:14|4:2|5:1|6:0|7:0
|time:84,55933|1:3|2:19|3:21|4:2|5:1|6:0|7:0
|time:85,58806|1:3|2:16|3:15|4:2|5:1|6:0|7:0
|time:86,61241|1:3|2:15|3:13|4:2|5:1|6:0|7:0
|time:87,64938|1:3|2:14|3:16|4:2|5:1|6:0|7:0
|time:88,67341|1:3|2:19|3:18|4:2|5:1|6:0|7:0
|time:89,71553|1:3|2:13|3:15|4:2|5:1|6:0|7:0
|time:90,82406|1:3|2:16|3:17|4:2|5:1|6:0|7:0
|time:91,85664|1:3|2:16|3:22|4:2|5:1|6:0|7:0
|time:92,88815|1:3|2:13|3:18|4:2|5:1|6:0|7:0
|time:93,92926|1:3|2:14|3:21|4:2|5:1|6:0|7:0
|time:94,96084|1:3|2:15|3:16|4:2|5:1|6:0|7:0
|time:95,98706|1:3|2:13|3:19|4:2|5:1|6:0|7:0
|time:97,06704|1:3|2:12|3:23|4:2|5:1|6:0|7:0
|time:98,09682|1:3|2:12|3:21|4:2|5:1|6:0|7:0
|time:99,15824|1:3|2:13|3:17|4:2|5:1|6:0|7:0
|time:100,1945|1:3|2:14|3:16|4:2|5:1|6:0|7:0
|time:101,2378|1:3|2:13|3:16|4:2|5:1|6:0|7:0
|time:102,2673|1:4|2:15|3:17|4:3|5:1|6:0|7:0
|time:103,2953|1:4|2:15|3:15|4:3|5:1|6:0|7:0
|time:104,3356|1:4|2:18|3:17|4:3|5:1|6:0|7:0
|time:105,3608|1:4|2:15|3:19|4:3|5:1|6:0|7:0
|time:106,3832|1:4|2:18|3:22|4:3|5:1|6:0|7:0
|time:107,4357|1:4|2:17|3:15|4:3|5:1|6:0|7:0
