|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,029364|1:2|2:2|3:7|4:1|5:1|6:0|7:0|8:330
|time:2,050546|1:2|2:7|3:12|4:1|5:1|6:0|7:0|8:330
|time:3,084228|1:2|2:9|3:17|4:1|5:1|6:0|7:0|8:330
|time:4,119211|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
|time:5,143774|1:2|2:20|3:12|4:1|5:1|6:0|7:0|8:330
|time:6,164116|1:2|2:16|3:12|4:1|5:1|6:0|7:0|8:330
|time:7,193083|1:2|2:21|3:12|4:1|5:1|6:0|7:0|8:330
|time:8,21171|1:2|2:24|3:9|4:1|5:1|6:0|7:0|8:330
|time:9,237971|1:2|2:19|3:12|4:1|5:1|6:0|7:0|8:330
|time:10,28259|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
|time:11,32504|1:2|2:19|3:14|4:1|5:1|6:0|7:0|8:330
|time:12,34907|1:2|2:18|3:11|4:1|5:1|6:0|7:0|8:330
|time:13,37928|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
|time:14,42208|1:2|2:21|3:18|4:1|5:1|6:0|7:0|8:330
|time:15,4598|1:2|2:15|3:20|4:1|5:1|6:0|7:0|8:330
|time:16,49511|1:2|2:16|3:20|4:1|5:1|6:0|7:0|8:330
|time:17,5214|1:2|2:17|3:15|4:1|5:1|6:0|7:0|8:330
|time:18,55882|1:2|2:17|3:18|4:1|5:1|6:0|7:0|8:330
|time:19,60088|1:2|2:18|3:20|4:1|5:1|6:0|7:0|8:330
|time:20,62862|1:2|2:13|3:17|4:1|5:1|6:0|7:0|8:330
|time:21,67146|1:2|2:16|3:13|4:1|5:1|6:0|7:0|8:330
|time:22,69593|1:3|2:19|3:16|4:2|5:1|6:0|7:0|8:330
|time:23,72475|1:3|2:17|3:13|4:2|5:1|6:0|7:0|8:330
|time:24,75989|1:3|2:21|3:17|4:2|5:1|6:0|7:0|8:330
|time:25,79801|1:3|2:20|3:19|4:2|5:1|6:0|7:0|8:330
|time:26,83736|1:3|2:17|3:15|4:2|5:1|6:0|7:0|8:330
