|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,025621|1:2|2:1|3:4|4:1|5:1|6:0|7:0|8:330
|time:2,098176|1:2|2:4|3:6|4:1|5:1|6:0|7:0|8:330
|time:3,13109|1:2|2:9|3:10|4:1|5:1|6:0|7:0|8:330
|time:4,167792|1:2|2:10|3:11|4:1|5:1|6:0|7:0|8:330
|time:5,196888|1:2|2:13|3:12|4:1|5:1|6:0|7:0|8:330
|time:6,241106|1:2|2:12|3:11|4:1|5:1|6:0|7:0|8:330
|time:7,289227|1:2|2:10|3:15|4:1|5:1|6:0|7:0|8:330
|time:8,317438|1:2|2:12|3:15|4:1|5:1|6:0|7:0|8:330
|time:9,350816|1:2|2:18|3:18|4:1|5:1|6:0|7:0|8:330
|time:10,37949|1:2|2:13|3:18|4:1|5:1|6:0|7:0|8:330
|time:11,41898|1:2|2:22|3:20|4:1|5:1|6:0|7:0|8:330
|time:12,44116|1:2|2:15|3:20|4:1|5:1|6:0|7:0|8:330
|time:13,46483|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:14,4968|1:2|2:13|3:20|4:1|5:1|6:0|7:0|8:330
|time:15,5282|1:2|2:20|3:19|4:1|5:1|6:0|7:0|8:330
|time:16,56587|1:2|2:19|3:15|4:1|5:1|6:0|7:0|8:330
|time:17,59945|1:2|2:21|3:19|4:1|5:1|6:0|7:0|8:330
|time:18,63059|1:2|2:17|3:16|4:1|5:1|6:0|7:0|8:330
|time:19,65428|1:2|2:12|3:14|4:1|5:1|6:0|7:0|8:330
|time:20,69012|1:2|2:11|3:15|4:1|5:1|6:0|7:0|8:330
|time:21,7151|1:2|2:6|3:20|4:1|5:1|6:0|7:0|8:330
|time:22,75286|1:2|2:11|3:20|4:1|5:1|6:0|7:0|8:330
|time:23,7907|1:2|2:8|3:19|4:1|5:1|6:0|7:0|8:330
|time:24,81655|1:2|2:6|3:11|4:1|5:1|6:0|7:0|8:330
|time:25,83911|1:2|2:10|3:17|4:1|5:1|6:0|7:0|8:330
|time:26,86698|1:2|2:13|3:15|4:1|5:1|6:0|7:0|8:330
|time:27,90849|1:2|2:14|3:13|4:1|5:1|6:0|7:0|8:330
|time:28,94324|1:2|2:14|3:16|4:1|5:1|6:0|7:0|8:330
|time:29,9772|1:2|2:17|3:15|4:1|5:1|6:0|7:0|8:330
|time:31,01872|1:2|2:19|3:19|4:1|5:1|6:0|7:0|8:330
|time:32,05701|1:2|2:16|3:16|4:1|5:1|6:0|7:0|8:330
|time:33,08227|1:2|2:21|3:16|4:1|5:1|6:0|7:0|8:330
|time:34,12203|1:2|2:22|3:21|4:1|5:1|6:0|7:0|8:330
|time:35,14924|1:2|2:19|3:17|4:1|5:1|6:0|7:0|8:330
|time:36,17456|1:2|2:16|3:15|4:1|5:1|6:0|7:0|8:330
|time:37,21219|1:2|2:20|3:13|4:1|5:1|6:0|7:0|8:330
|time:38,23581|1:2|2:18|3:15|4:1|5:1|6:0|7:0|8:330
|time:39,26846|1:2|2:21|3:21|4:1|5:1|6:0|7:0|8:330
|time:40,30973|1:2|2:20|3:16|4:1|5:1|6:0|7:0|8:330
|time:41,35199|1:2|2:19|3:16|4:1|5:1|6:0|7:0|8:330
