|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0
|time:1,02146|1:2|2:2|3:4|4:1|5:1|6:0|7:0
|time:2,053968|1:2|2:10|3:11|4:1|5:1|6:0|7:0
|time:3,079337|1:2|2:11|3:13|4:1|5:1|6:0|7:0
|time:4,11365|1:2|2:10|3:12|4:1|5:1|6:0|7:0
|time:5,138677|1:2|2:16|3:15|4:1|5:1|6:0|7:0
|time:6,158432|1:2|2:14|3:13|4:1|5:1|6:0|7:0
|time:7,178029|1:2|2:16|3:13|4:1|5:1|6:0|7:0
|time:8,208608|1:2|2:17|3:14|4:1|5:1|6:0|7:0
|time:9,236644|1:2|2:15|3:15|4:1|5:1|6:0|7:0
|time:10,26632|1:2|2:20|3:18|4:1|5:1|6:0|7:0
|time:11,29856|1:2|2:18|3:19|4:1|5:1|6:0|7:0
|time:12,33375|1:2|2:17|3:18|4:1|5:1|6:0|7:0
|time:13,41441|1:2|2:16|3:16|4:1|5:1|6:0|7:0
|time:14,43726|1:2|2:15|3:14|4:1|5:1|6:0|7:0
|time:15,48777|1:2|2:16|3:17|4:1|5:1|6:0|7:0
|time:16,50815|1:2|2:16|3:20|4:1|5:1|6:0|7:0
|time:17,55528|1:2|2:18|3:20|4:1|5:1|6:0|7:0
|time:18,60722|1:2|2:14|3:21|4:1|5:1|6:0|7:0
|time:19,64439|1:2|2:15|3:19|4:1|5:1|6:0|7:0
|time:20,7008|1:2|2:20|3:21|4:1|5:1|6:0|7:0
|time:22,08458|1:2|2:13|3:19|4:1|5:1|6:0|7:0
|time:23,13712|1:2|2:17|3:16|4:1|5:1|6:0|7:0
|time:24,19157|1:2|2:17|3:17|4:1|5:1|6:0|7:0
|time:25,23014|1:2|2:16|3:15|4:1|5:1|6:0|7:0
|time:26,24946|1:2|2:21|3:18|4:1|5:1|6:0|7:0
|time:27,36379|1:2|2:17|3:18|4:1|5:1|6:0|7:0
|time:28,38534|1:2|2:13|3:21|4:1|5:1|6:0|7:0
