|time:0|1:2|2:0|3:1|4:1|5:1|6:0|7:0
|time:1,037179|1:2|2:0|3:1|4:1|5:1|6:0|7:0
|time:2,102454|1:2|2:2|3:5|4:1|5:1|6:0|7:0
|time:3,171154|1:2|2:5|3:6|4:1|5:1|6:0|7:0
|time:4,214803|1:2|2:6|3:7|4:1|5:1|6:0|7:0
|time:5,254531|1:2|2:9|3:10|4:1|5:1|6:0|7:0
|time:6,284752|1:2|2:11|3:8|4:1|5:1|6:0|7:0
|time:7,451858|1:2|2:14|3:10|4:1|5:1|6:0|7:0
|time:8,500818|1:2|2:15|3:10|4:1|5:1|6:0|7:0
|time:9,639412|1:2|2:12|3:13|4:1|5:1|6:0|7:0
|time:10,6879|1:2|2:13|3:16|4:1|5:1|6:0|7:0
|time:11,71424|1:2|2:15|3:15|4:1|5:1|6:0|7:0
|time:12,766|1:2|2:15|3:10|4:1|5:1|6:0|7:0
|time:13,80679|1:2|2:17|3:12|4:1|5:1|6:0|7:0
|time:14,87882|1:2|2:10|3:18|4:1|5:1|6:0|7:0
|time:15,92228|1:2|2:13|3:14|4:1|5:1|6:0|7:0
|time:16,9733|1:2|2:13|3:13|4:1|5:1|6:0|7:0
|time:18,01494|1:2|2:13|3:13|4:1|5:1|6:0|7:0
|time:19,06652|1:2|2:11|3:16|4:1|5:1|6:0|7:0
|time:20,10509|1:2|2:18|3:18|4:1|5:1|6:0|7:0
|time:21,13672|1:2|2:15|3:16|4:1|5:1|6:0|7:0
|time:22,17538|1:2|2:15|3:17|4:1|5:1|6:0|7:0
|time:23,20953|1:2|2:16|3:21|4:1|5:1|6:0|7:0
|time:24,24602|1:2|2:18|3:14|4:1|5:1|6:0|7:0
|time:25,28166|1:2|2:12|3:10|4:1|5:1|6:0|7:0
|time:26,31944|1:2|2:14|3:14|4:1|5:1|6:0|7:0
|time:27,37678|1:2|2:14|3:12|4:1|5:1|6:0|7:0
|time:28,40954|1:2|2:14|3:13|4:1|5:1|6:0|7:0
|time:29,44561|1:2|2:14|3:10|4:1|5:1|6:0|7:0
|time:30,48476|1:2|2:17|3:13|4:1|5:1|6:0|7:0
|time:31,53749|1:2|2:18|3:16|4:1|5:1|6:0|7:0
|time:32,58369|1:2|2:15|3:16|4:1|5:1|6:0|7:0
|time:33,61057|1:2|2:11|3:14|4:1|5:1|6:0|7:0
|time:34,65489|1:2|2:11|3:14|4:1|5:1|6:0|7:0
|time:35,70012|1:2|2:10|3:13|4:1|5:1|6:0|7:0
|time:36,74311|1:2|2:11|3:19|4:1|5:1|6:0|7:0
|time:37,80867|1:2|2:11|3:13|4:1|5:1|6:0|7:0
|time:39,43347|1:50|2:0|3:0|4:17|5:14|6:0|7:19
