|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,031047|1:2|2:4|3:2|4:1|5:1|6:0|7:0|8:330
|time:2,056723|1:2|2:7|3:5|4:1|5:1|6:0|7:0|8:330
|time:3,085935|1:2|2:10|3:10|4:1|5:1|6:0|7:0|8:330
|time:4,106421|1:2|2:15|3:13|4:1|5:1|6:0|7:0|8:330
|time:5,127356|1:2|2:17|3:14|4:1|5:1|6:0|7:0|8:330
|time:6,161123|1:2|2:13|3:16|4:1|5:1|6:0|7:0|8:330
|time:7,201987|1:2|2:10|3:8|4:1|5:1|6:0|7:0|8:330
|time:8,230495|1:2|2:15|3:14|4:1|5:1|6:0|7:0|8:330
|time:9,266399|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:10,29917|1:2|2:14|3:17|4:1|5:1|6:0|7:0|8:330
|time:11,32622|1:2|2:19|3:22|4:1|5:1|6:0|7:0|8:330
|time:12,35183|1:3|2:14|3:22|4:2|5:1|6:0|7:0|8:330
|time:13,3831|1:3|2:11|3:25|4:2|5:1|6:0|7:0|8:330
|time:14,40576|1:3|2:13|3:24|4:2|5:1|6:0|7:0|8:330
|time:15,4332|1:3|2:15|3:17|4:2|5:1|6:0|7:0|8:330
|time:16,45621|1:3|2:16|3:18|4:2|5:1|6:0|7:0|8:330
|time:17,50023|1:7|2:15|3:19|4:6|5:1|6:0|7:0|8:330
|time:18,54228|1:12|2:16|3:20|4:11|5:1|6:0|7:0|8:330
|time:19,58868|1:17|2:15|3:20|4:16|5:1|6:0|7:0|8:330
|time:20,66302|1:19|2:13|3:21|4:18|5:1|6:0|7:0|8:330
|time:21,75434|1:24|2:18|3:26|4:23|5:1|6:0|7:0|8:330
|time:22,94548|1:29|2:18|3:26|4:28|5:1|6:0|7:0|8:330
|time:24,02101|1:29|2:16|3:25|4:28|5:1|6:0|7:0|8:330
|time:25,08108|1:29|2:17|3:23|4:28|5:1|6:0|7:0|8:330
|time:26,2091|1:35|2:14|3:22|4:34|5:1|6:0|7:0|8:330
|time:27,34479|1:35|2:16|3:20|4:34|5:1|6:0|7:0|8:330
|time:28,51152|1:35|2:15|3:21|4:34|5:1|6:0|7:0|8:330
