|time:0|1:2|2:0|3:1|4:1|5:1|6:0|7:0|8:330
|time:1,033682|1:2|2:2|3:3|4:1|5:1|6:0|7:0|8:330
|time:2,055497|1:2|2:8|3:11|4:1|5:1|6:0|7:0|8:330
|time:3,087128|1:2|2:10|3:13|4:1|5:1|6:0|7:0|8:330
|time:4,11533|1:2|2:18|3:10|4:1|5:1|6:0|7:0|8:330
|time:5,140715|1:2|2:18|3:11|4:1|5:1|6:0|7:0|8:330
|time:6,494139|1:2|2:17|3:11|4:1|5:1|6:0|7:0|8:330
|time:7,600686|1:2|2:14|3:11|4:1|5:1|6:0|7:0|8:330
|time:8,619932|1:2|2:20|3:13|4:1|5:1|6:0|7:0|8:330
|time:9,643531|1:2|2:18|3:14|4:1|5:1|6:0|7:0|8:330
|time:10,71051|1:2|2:20|3:17|4:1|5:1|6:0|7:0|8:330
|time:11,74175|1:2|2:18|3:17|4:1|5:1|6:0|7:0|8:330
|time:12,76631|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
|time:13,80363|1:2|2:15|3:14|4:1|5:1|6:0|7:0|8:330
|time:15,38039|1:2|2:14|3:11|4:1|5:1|6:0|7:0|8:330
|time:16,41105|1:2|2:13|3:13|4:1|5:1|6:0|7:0|8:330
|time:17,44548|1:2|2:15|3:14|4:1|5:1|6:0|7:0|8:330
|time:18,51844|1:2|2:16|3:15|4:1|5:1|6:0|7:0|8:330
|time:19,59304|1:2|2:12|3:12|4:1|5:1|6:0|7:0|8:330
|time:20,80423|1:2|2:15|3:15|4:1|5:1|6:0|7:0|8:330
|time:21,82812|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:22,85322|1:2|2:20|3:13|4:1|5:1|6:0|7:0|8:330
|time:23,88593|1:2|2:21|3:14|4:1|5:1|6:0|7:0|8:330
|time:24,90321|1:2|2:21|3:17|4:1|5:1|6:0|7:0|8:330
|time:25,92985|1:2|2:20|3:16|4:1|5:1|6:0|7:0|8:330
|time:26,9634|1:2|2:18|3:19|4:1|5:1|6:0|7:0|8:330
|time:27,98269|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:29,01704|1:2|2:21|3:14|4:1|5:1|6:0|7:0|8:330
|time:30,04281|1:2|2:17|3:18|4:1|5:1|6:0|7:0|8:330
|time:31,06457|1:2|2:16|3:15|4:1|5:1|6:0|7:0|8:330
|time:32,09442|1:2|2:12|3:18|4:1|5:1|6:0|7:0|8:330
|time:33,114|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:34,15445|1:2|2:20|3:22|4:1|5:1|6:0|7:0|8:330
|time:35,1862|1:2|2:21|3:15|4:1|5:1|6:0|7:0|8:330
|time:36,21182|1:2|2:25|3:16|4:1|5:1|6:0|7:0|8:330
|time:37,23755|1:2|2:23|3:14|4:1|5:1|6:0|7:0|8:330
|time:38,2696|1:2|2:23|3:17|4:1|5:1|6:0|7:0|8:330
|time:39,30001|1:2|2:18|3:14|4:1|5:1|6:0|7:0|8:330
|time:40,32552|1:2|2:14|3:10|4:1|5:1|6:0|7:0|8:330
|time:41,36034|1:2|2:12|3:16|4:1|5:1|6:0|7:0|8:330
|time:42,39048|1:2|2:15|3:19|4:1|5:1|6:0|7:0|8:330
|time:43,42357|1:2|2:17|3:20|4:1|5:1|6:0|7:0|8:330
|time:44,4523|1:2|2:14|3:21|4:1|5:1|6:0|7:0|8:330
|time:45,48814|1:2|2:16|3:22|4:1|5:1|6:0|7:0|8:330
|time:46,50899|1:2|2:19|3:18|4:1|5:1|6:0|7:0|8:330
|time:47,53136|1:2|2:15|3:17|4:1|5:1|6:0|7:0|8:330
|time:48,55655|1:2|2:11|3:19|4:1|5:1|6:0|7:0|8:330
