|time:0|1:2|2:0|3:1|4:1|5:1|6:0|7:0
|time:1,018028|1:2|2:1|3:1|4:1|5:1|6:0|7:0
|time:2,078307|1:2|2:4|3:7|4:1|5:1|6:0|7:0
|time:3,102691|1:2|2:8|3:10|4:1|5:1|6:0|7:0
|time:4,135163|1:2|2:10|3:13|4:1|5:1|6:0|7:0
|time:5,16211|1:2|2:7|3:13|4:1|5:1|6:0|7:0
|time:6,201041|1:2|2:13|3:18|4:1|5:1|6:0|7:0
|time:7,242821|1:2|2:15|3:13|4:1|5:1|6:0|7:0
|time:8,270947|1:2|2:17|3:13|4:1|5:1|6:0|7:0
|time:9,309717|1:2|2:16|3:12|4:1|5:1|6:0|7:0
|time:10,33935|1:2|2:16|3:8|4:1|5:1|6:0|7:0
|time:11,37738|1:2|2:12|3:8|4:1|5:1|6:0|7:0
|time:12,4103|1:2|2:16|3:12|4:1|5:1|6:0|7:0
|time:13,60733|1:2|2:14|3:5|4:1|5:1|6:0|7:0
|time:14,66606|1:2|2:15|3:6|4:1|5:1|6:0|7:0
|time:15,69443|1:2|2:22|3:13|4:1|5:1|6:0|7:0
|time:16,76499|1:2|2:23|3:14|4:1|5:1|6:0|7:0
|time:17,79094|1:2|2:20|3:16|4:1|5:1|6:0|7:0
|time:18,85083|1:2|2:19|3:17|4:1|5:1|6:0|7:0
|time:19,91873|1:2|2:11|3:16|4:1|5:1|6:0|7:0
|time:20,97978|1:2|2:18|3:17|4:1|5:1|6:0|7:0
|time:22,01319|1:2|2:15|3:17|4:1|5:1|6:0|7:0
|time:23,04367|1:2|2:17|3:18|4:1|5:1|6:0|7:0
|time:24,08469|1:2|2:13|3:20|4:1|5:1|6:0|7:0
|time:25,12367|1:2|2:16|3:16|4:1|5:1|6:0|7:0
|time:26,16271|1:2|2:13|3:18|4:1|5:1|6:0|7:0
|time:27,35403|1:2|2:10|3:16|4:1|5:1|6:0|7:0
|time:28,44249|1:2|2:10|3:16|4:1|5:1|6:0|7:0
|time:29,50902|1:2|2:9|3:15|4:1|5:1|6:0|7:0
|time:30,53907|1:2|2:12|3:14|4:1|5:1|6:0|7:0
|time:31,60789|1:2|2:11|3:15|4:1|5:1|6:0|7:0
|time:32,68952|1:2|2:10|3:14|4:1|5:1|6:0|7:0
|time:33,75111|1:2|2:13|3:15|4:1|5:1|6:0|7:0
|time:34,78764|1:2|2:14|3:14|4:1|5:1|6:0|7:0
|time:35,86408|1:2|2:14|3:17|4:1|5:1|6:0|7:0
|time:36,93357|1:2|2:16|3:18|4:1|5:1|6:0|7:0
|time:37,96962|1:2|2:15|3:15|4:1|5:1|6:0|7:0
|time:39,04988|1:2|2:17|3:17|4:1|5:1|6:0|7:0
|time:40,12233|1:2|2:19|3:13|4:1|5:1|6:0|7:0
|time:41,19552|1:2|2:17|3:17|4:1|5:1|6:0|7:0
|time:42,3009|1:2|2:12|3:10|4:1|5:1|6:0|7:0
|time:43,32752|1:2|2:12|3:11|4:1|5:1|6:0|7:0
|time:44,44471|1:2|2:15|3:10|4:1|5:1|6:0|7:0
|time:45,53291|1:2|2:15|3:11|4:1|5:1|6:0|7:0
|time:46,70094|1:2|2:17|3:12|4:1|5:1|6:0|7:0
|time:47,73444|1:2|2:24|3:13|4:1|5:1|6:0|7:0
|time:48,7865|1:2|2:17|3:13|4:1|5:1|6:0|7:0
|time:49,83236|1:2|2:15|3:16|4:1|5:1|6:0|7:0
|time:50,89508|1:2|2:16|3:16|4:1|5:1|6:0|7:0
|time:51,92918|1:2|2:16|3:19|4:1|5:1|6:0|7:0
|time:52,95613|1:3|2:16|3:18|4:1|5:2|6:0|7:0
|time:54,04118|1:3|2:15|3:15|4:1|5:2|6:0|7:0
|time:55,06691|1:3|2:14|3:14|4:1|5:2|6:0|7:0
|time:56,12477|1:3|2:16|3:15|4:1|5:2|6:0|7:0
|time:57,22233|1:3|2:18|3:16|4:1|5:2|6:0|7:0
|time:58,27034|1:3|2:13|3:15|4:1|5:2|6:0|7:0
|time:59,35711|1:3|2:10|3:14|4:1|5:2|6:0|7:0
|time:60,39578|1:3|2:9|3:17|4:1|5:2|6:0|7:0
|time:61,46735|1:3|2:13|3:17|4:1|5:2|6:0|7:0
