|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0
|time:1,028651|1:2|2:1|3:7|4:1|5:1|6:0|7:0
|time:2,062651|1:2|2:11|3:8|4:1|5:1|6:0|7:0
|time:3,085454|1:2|2:6|3:9|4:1|5:1|6:0|7:0
|time:4,120138|1:2|2:12|3:16|4:1|5:1|6:0|7:0
|time:5,152299|1:2|2:10|3:8|4:1|5:1|6:0|7:0
|time:6,178888|1:2|2:6|3:13|4:1|5:1|6:0|7:0
|time:7,205115|1:2|2:7|3:20|4:1|5:1|6:0|7:0
|time:8,222626|1:2|2:12|3:23|4:1|5:1|6:0|7:0
|time:9,242328|1:2|2:14|3:21|4:1|5:1|6:0|7:0
|time:10,26355|1:2|2:18|3:23|4:1|5:1|6:0|7:0
|time:11,28234|1:2|2:17|3:24|4:1|5:1|6:0|7:0
|time:12,31507|1:2|2:15|3:20|4:1|5:1|6:0|7:0
|time:13,34156|1:2|2:17|3:17|4:1|5:1|6:0|7:0
|time:14,3612|1:2|2:15|3:19|4:1|5:1|6:0|7:0
|time:15,38922|1:2|2:14|3:17|4:1|5:1|6:0|7:0
|time:16,41399|1:2|2:16|3:21|4:1|5:1|6:0|7:0
|time:17,44041|1:2|2:17|3:27|4:1|5:1|6:0|7:0
|time:18,46033|1:2|2:16|3:26|4:1|5:1|6:0|7:0
|time:19,48143|1:2|2:16|3:19|4:1|5:1|6:0|7:0
|time:20,51788|1:2|2:16|3:20|4:1|5:1|6:0|7:0
|time:21,54189|1:2|2:22|3:18|4:1|5:1|6:0|7:0
|time:22,56924|1:2|2:20|3:18|4:1|5:1|6:0|7:0
|time:23,58816|1:2|2:22|3:23|4:1|5:1|6:0|7:0
|time:24,61392|1:2|2:22|3:19|4:1|5:1|6:0|7:0
|time:25,6324|1:2|2:21|3:20|4:1|5:1|6:0|7:0
