|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0
|time:1,052578|1:2|2:2|3:1|4:1|5:1|6:0|7:0
|time:2,097019|1:2|2:4|3:4|4:1|5:1|6:0|7:0
|time:3,127744|1:2|2:8|3:9|4:1|5:1|6:0|7:0
|time:4,169431|1:2|2:6|3:10|4:1|5:1|6:0|7:0
|time:5,232743|1:2|2:4|3:16|4:1|5:1|6:0|7:0
|time:6,354234|1:2|2:7|3:14|4:1|5:1|6:0|7:0
|time:7,403653|1:2|2:7|3:12|4:1|5:1|6:0|7:0
|time:8,443641|1:2|2:6|3:14|4:1|5:1|6:0|7:0
|time:9,4938|1:2|2:5|3:14|4:1|5:1|6:0|7:0
|time:10,54268|1:2|2:7|3:17|4:1|5:1|6:0|7:0
|time:11,5731|1:2|2:10|3:16|4:1|5:1|6:0|7:0
|time:12,61966|1:2|2:9|3:18|4:1|5:1|6:0|7:0
|time:13,64362|1:2|2:10|3:17|4:1|5:1|6:0|7:0
|time:14,69902|1:2|2:9|3:12|4:1|5:1|6:0|7:0
|time:15,74246|1:2|2:13|3:15|4:1|5:1|6:0|7:0
|time:16,82695|1:2|2:15|3:13|4:1|5:1|6:0|7:0
|time:17,85739|1:2|2:17|3:18|4:1|5:1|6:0|7:0
|time:18,88962|1:2|2:15|3:15|4:1|5:1|6:0|7:0
|time:19,92895|1:2|2:14|3:14|4:1|5:1|6:0|7:0
|time:20,95463|1:2|2:13|3:18|4:1|5:1|6:0|7:0
|time:21,98771|1:2|2:13|3:16|4:1|5:1|6:0|7:0
|time:23,02399|1:2|2:15|3:13|4:1|5:1|6:0|7:0
|time:24,0785|1:2|2:11|3:14|4:1|5:1|6:0|7:0
|time:25,11549|1:2|2:13|3:18|4:1|5:1|6:0|7:0
|time:26,15367|1:2|2:16|3:22|4:1|5:1|6:0|7:0
|time:27,19568|1:2|2:13|3:22|4:1|5:1|6:0|7:0
|time:28,23543|1:2|2:13|3:16|4:1|5:1|6:0|7:0
|time:29,2875|1:2|2:18|3:21|4:1|5:1|6:0|7:0
|time:30,33369|1:2|2:16|3:19|4:1|5:1|6:0|7:0
|time:31,37098|1:2|2:15|3:13|4:1|5:1|6:0|7:0
|time:32,40236|1:2|2:21|3:13|4:1|5:1|6:0|7:0
|time:33,42843|1:2|2:18|3:12|4:1|5:1|6:0|7:0
|time:34,46804|1:2|2:19|3:15|4:1|5:1|6:0|7:0
|time:35,49769|1:2|2:18|3:12|4:1|5:1|6:0|7:0
|time:36,55027|1:2|2:24|3:19|4:1|5:1|6:0|7:0
|time:37,57718|1:2|2:19|3:11|4:1|5:1|6:0|7:0
|time:38,61787|1:2|2:17|3:13|4:1|5:1|6:0|7:0
|time:39,66084|1:2|2:16|3:11|4:1|5:1|6:0|7:0
|time:40,69973|1:2|2:18|3:12|4:1|5:1|6:0|7:0
|time:41,7399|1:2|2:13|3:12|4:1|5:1|6:0|7:0
|time:42,77978|1:2|2:14|3:12|4:1|5:1|6:0|7:0
|time:43,81936|1:2|2:17|3:12|4:1|5:1|6:0|7:0
|time:44,85873|1:2|2:19|3:16|4:1|5:1|6:0|7:0
|time:45,89579|1:2|2:17|3:16|4:1|5:1|6:0|7:0
|time:46,94082|1:2|2:17|3:19|4:1|5:1|6:0|7:0
|time:47,96925|1:2|2:16|3:17|4:1|5:1|6:0|7:0
|time:49,01396|1:2|2:19|3:18|4:1|5:1|6:0|7:0
|time:50,05357|1:2|2:15|3:18|4:1|5:1|6:0|7:0
|time:51,07537|1:2|2:15|3:15|4:1|5:1|6:0|7:0
|time:52,11343|1:2|2:13|3:17|4:1|5:1|6:0|7:0
|time:53,1389|1:2|2:16|3:17|4:1|5:1|6:0|7:0
|time:54,17659|1:3|2:19|3:17|4:1|5:2|6:0|7:0
|time:55,22132|1:3|2:19|3:17|4:1|5:2|6:0|7:0
|time:56,25511|1:3|2:20|3:17|4:1|5:2|6:0|7:0
|time:57,3102|1:3|2:21|3:19|4:1|5:2|6:0|7:0
|time:58,34565|1:3|2:16|3:19|4:1|5:2|6:0|7:0
|time:59,3855|1:3|2:16|3:21|4:1|5:2|6:0|7:0
|time:60,40894|1:3|2:15|3:17|4:1|5:2|6:0|7:0
|time:61,43742|1:3|2:13|3:17|4:1|5:2|6:0|7:0
|time:62,46096|1:3|2:15|3:21|4:1|5:2|6:0|7:0
|time:63,49114|1:3|2:13|3:14|4:1|5:2|6:0|7:0
|time:64,54722|1:3|2:15|3:15|4:1|5:2|6:0|7:0
|time:65,59263|1:3|2:12|3:16|4:1|5:2|6:0|7:0
