|time:0|1:2|2:0|3:1|4:1|5:1|6:0|7:0
|time:1,033574|1:2|2:8|3:4|4:1|5:1|6:0|7:0
|time:2,061512|1:2|2:14|3:7|4:1|5:1|6:0|7:0
|time:3,101065|1:2|2:18|3:11|4:1|5:1|6:0|7:0
|time:4,124175|1:2|2:21|3:14|4:1|5:1|6:0|7:0
|time:5,147892|1:2|2:24|3:12|4:1|5:1|6:0|7:0
|time:6,178069|1:2|2:20|3:16|4:1|5:1|6:0|7:0
|time:7,197127|1:2|2:20|3:17|4:1|5:1|6:0|7:0
|time:8,227397|1:2|2:19|3:9|4:1|5:1|6:0|7:0
|time:9,258937|1:2|2:16|3:12|4:1|5:1|6:0|7:0
|time:10,37865|1:2|2:12|3:8|4:1|5:1|6:0|7:0
|time:11,95069|1:2|2:12|3:10|4:1|5:1|6:0|7:0
|time:12,99996|1:2|2:13|3:9|4:1|5:1|6:0|7:0
|time:14,18803|1:2|2:9|3:10|4:1|5:1|6:0|7:0
|time:15,22289|1:2|2:12|3:9|4:1|5:1|6:0|7:0
|time:16,43833|1:2|2:14|3:12|4:1|5:1|6:0|7:0
|time:17,52346|1:2|2:11|3:13|4:1|5:1|6:0|7:0
|time:18,55372|1:2|2:10|3:14|4:1|5:1|6:0|7:0
|time:19,57383|1:2|2:13|3:16|4:1|5:1|6:0|7:0
|time:20,62459|1:2|2:11|3:17|4:1|5:1|6:0|7:0
|time:21,71916|1:2|2:13|3:13|4:1|5:1|6:0|7:0
|time:22,76567|1:2|2:11|3:11|4:1|5:1|6:0|7:0
|time:23,84321|1:2|2:11|3:16|4:1|5:1|6:0|7:0
|time:24,86411|1:2|2:15|3:17|4:1|5:1|6:0|7:0
|time:25,90942|1:2|2:15|3:18|4:1|5:1|6:0|7:0
|time:26,9432|1:2|2:17|3:17|4:1|5:1|6:0|7:0
|time:27,9829|1:2|2:12|3:14|4:1|5:1|6:0|7:0
|time:29,0168|1:2|2:16|3:10|4:1|5:1|6:0|7:0
|time:30,04881|1:2|2:18|3:12|4:1|5:1|6:0|7:0
|time:31,07948|1:2|2:17|3:16|4:1|5:1|6:0|7:0
|time:32,15947|1:2|2:16|3:14|4:1|5:1|6:0|7:0
|time:33,2118|1:2|2:19|3:11|4:1|5:1|6:0|7:0
|time:34,26694|1:2|2:20|3:14|4:1|5:1|6:0|7:0
|time:35,29744|1:2|2:16|3:18|4:1|5:1|6:0|7:0
|time:36,32811|1:2|2:21|3:18|4:1|5:1|6:0|7:0
|time:37,38503|1:2|2:20|3:22|4:1|5:1|6:0|7:0
|time:38,41061|1:2|2:17|3:20|4:1|5:1|6:0|7:0
|time:39,44435|1:2|2:12|3:15|4:1|5:1|6:0|7:0
|time:40,46935|1:2|2:11|3:16|4:1|5:1|6:0|7:0
|time:41,49695|1:2|2:10|3:17|4:1|5:1|6:0|7:0
|time:42,54338|1:2|2:10|3:17|4:1|5:1|6:0|7:0
|time:43,56659|1:2|2:18|3:16|4:1|5:1|6:0|7:0
|time:44,60772|1:2|2:15|3:18|4:1|5:1|6:0|7:0
|time:45,64781|1:2|2:15|3:20|4:1|5:1|6:0|7:0
