|time:0|1:2|2:1|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,028552|1:2|2:8|3:5|4:1|5:1|6:0|7:0|8:330
|time:2,04918|1:2|2:16|3:6|4:1|5:1|6:0|7:0|8:330
|time:3,074804|1:2|2:19|3:12|4:1|5:1|6:0|7:0|8:330
|time:4,102691|1:2|2:13|3:11|4:1|5:1|6:0|7:0|8:330
|time:5,128438|1:2|2:15|3:10|4:1|5:1|6:0|7:0|8:330
|time:6,148388|1:2|2:14|3:13|4:1|5:1|6:0|7:0|8:330
|time:7,182867|1:2|2:15|3:16|4:1|5:1|6:0|7:0|8:330
|time:8,211209|1:2|2:18|3:11|4:1|5:1|6:0|7:0|8:330
|time:9,24074|1:2|2:16|3:13|4:1|5:1|6:0|7:0|8:330
|time:10,28978|1:2|2:20|3:19|4:1|5:1|6:0|7:0|8:330
|time:11,33746|1:2|2:18|3:16|4:1|5:1|6:0|7:0|8:330
|time:12,37869|1:2|2:16|3:17|4:1|5:1|6:0|7:0|8:330
|time:13,41663|1:2|2:14|3:11|4:1|5:1|6:0|7:0|8:330
|time:14,44743|1:2|2:20|3:15|4:1|5:1|6:0|7:0|8:330
|time:15,47377|1:2|2:19|3:16|4:1|5:1|6:0|7:0|8:330
|time:16,50477|1:2|2:18|3:18|4:1|5:1|6:0|7:0|8:330
|time:17,54062|1:2|2:19|3:13|4:1|5:1|6:0|7:0|8:330
|time:18,5647|1:2|2:18|3:15|4:1|5:1|6:0|7:0|8:330
|time:19,60186|1:2|2:16|3:16|4:1|5:1|6:0|7:0|8:330
|time:20,6276|1:3|2:15|3:14|4:1|5:2|6:0|7:0|8:330
|time:21,66922|1:3|2:15|3:15|4:1|5:2|6:0|7:0|8:330
|time:22,69788|1:3|2:12|3:13|4:1|5:2|6:0|7:0|8:330
|time:23,74249|1:4|2:16|3:13|4:1|5:3|6:0|7:0|8:330
|time:24,77704|1:4|2:15|3:16|4:1|5:3|6:0|7:0|8:330
|time:25,80267|1:5|2:18|3:21|4:1|5:4|6:0|7:0|8:330
|time:26,84102|1:6|2:19|3:19|4:1|5:5|6:0|7:0|8:330
|time:27,87925|1:7|2:24|3:17|4:1|5:6|6:0|7:0|8:330
|time:28,92641|1:8|2:20|3:16|4:1|5:7|6:0|7:0|8:330
|time:29,9713|1:9|2:19|3:13|4:1|5:8|6:0|7:0|8:330
|time:31,00303|1:9|2:17|3:14|4:1|5:8|6:0|7:0|8:330
|time:32,0296|1:9|2:19|3:15|4:1|5:8|6:0|7:0|8:330
|time:33,05944|1:9|2:17|3:12|4:1|5:8|6:0|7:0|8:330
|time:34,11119|1:10|2:21|3:13|4:1|5:8|6:0|7:1|8:330
|time:35,14114|1:10|2:19|3:17|4:1|5:8|6:0|7:1|8:330
|time:36,16836|1:10|2:19|3:11|4:1|5:8|6:0|7:1|8:330
|time:37,21166|1:10|2:26|3:19|4:1|5:8|6:0|7:1|8:330
|time:38,2425|1:9|2:16|3:13|4:1|5:8|6:0|7:0|8:330
|time:39,292|1:10|2:16|3:10|4:2|5:8|6:0|7:0|8:330
|time:40,32241|1:10|2:17|3:13|4:2|5:8|6:0|7:0|8:330
|time:41,35497|1:11|2:19|3:21|4:2|5:8|6:0|7:1|8:330
|time:42,4042|1:13|2:15|3:14|4:2|5:8|6:0|7:3|8:330
|time:43,43752|1:13|2:17|3:17|4:2|5:8|6:0|7:3|8:330
|time:44,46713|1:13|2:11|3:21|4:2|5:8|6:0|7:3|8:330
|time:45,49543|1:13|2:9|3:17|4:2|5:8|6:0|7:3|8:330
|time:46,53302|1:13|2:10|3:18|4:2|5:8|6:0|7:3|8:330
|time:47,56926|1:13|2:9|3:19|4:2|5:8|6:0|7:3|8:330
|time:48,60474|1:12|2:10|3:21|4:2|5:8|6:0|7:2|8:330
|time:49,6401|1:12|2:9|3:19|4:2|5:8|6:0|7:2|8:330
|time:50,67847|1:12|2:8|3:13|4:2|5:8|6:0|7:2|8:330
|time:51,73096|1:13|2:11|3:12|4:2|5:9|6:0|7:2|8:330
|time:52,77037|1:13|2:15|3:17|4:2|5:9|6:0|7:2|8:330
|time:53,81459|1:13|2:19|3:9|4:2|5:9|6:0|7:2|8:330
|time:54,85109|1:13|2:23|3:17|4:2|5:9|6:0|7:2|8:330
|time:55,91993|1:13|2:18|3:18|4:2|5:9|6:0|7:2|8:330
|time:56,97812|1:12|2:16|3:18|4:1|5:9|6:0|7:2|8:330
|time:58,02978|1:12|2:14|3:18|4:1|5:9|6:0|7:2|8:330
|time:59,08541|1:12|2:12|3:19|4:1|5:9|6:0|7:2|8:330
|time:60,14172|1:12|2:17|3:19|4:1|5:9|6:0|7:2|8:330
|time:61,19832|1:12|2:17|3:15|4:1|5:9|6:0|7:2|8:330
|time:62,24136|1:12|2:10|3:13|4:1|5:9|6:0|7:2|8:330
|time:63,28193|1:12|2:8|3:15|4:1|5:9|6:0|7:2|8:330
|time:64,32616|1:12|2:9|3:18|4:1|5:9|6:0|7:2|8:330
|time:65,35394|1:12|2:11|3:22|4:1|5:9|6:0|7:2|8:330
|time:66,39565|1:12|2:11|3:18|4:1|5:9|6:0|7:2|8:330
|time:67,43217|1:12|2:13|3:15|4:1|5:9|6:0|7:2|8:330
|time:68,47136|1:12|2:12|3:18|4:1|5:9|6:0|7:2|8:330
|time:69,5097|1:12|2:15|3:20|4:1|5:9|6:0|7:2|8:330
|time:70,54176|1:12|2:15|3:19|4:1|5:9|6:0|7:2|8:330
|time:71,58226|1:12|2:16|3:17|4:1|5:9|6:0|7:2|8:330
|time:72,61307|1:12|2:15|3:20|4:1|5:9|6:0|7:2|8:330
|time:73,65804|1:12|2:6|3:20|4:1|5:9|6:0|7:2|8:330
|time:74,69631|1:12|2:8|3:21|4:1|5:9|6:0|7:2|8:330
|time:75,723|1:13|2:13|3:19|4:1|5:10|6:0|7:2|8:330
|time:76,75685|1:14|2:4|3:15|4:2|5:10|6:0|7:2|8:330
|time:77,79311|1:15|2:7|3:20|4:3|5:10|6:0|7:2|8:330
|time:78,8327|1:15|2:7|3:22|4:3|5:10|6:0|7:2|8:330
|time:79,86127|1:17|2:9|3:13|4:4|5:11|6:0|7:2|8:330
|time:80,8864|1:17|2:12|3:20|4:4|5:11|6:0|7:2|8:330
|time:81,91213|1:18|2:14|3:13|4:5|5:11|6:0|7:2|8:330
|time:83,38493|1:19|2:15|3:9|4:5|5:12|6:0|7:2|8:330
|time:85,89178|1:19|2:24|3:22|4:5|5:12|6:0|7:2|8:330
|time:89,21826|1:19|2:30|3:25|4:5|5:12|6:0|7:2|8:330
|time:92,77151|1:19|2:24|3:26|4:5|5:12|6:0|7:2|8:330
|time:95,09319|1:19|2:21|3:25|4:5|5:12|6:0|7:2|8:330
|time:97,20975|1:19|2:14|3:21|4:5|5:12|6:0|7:2|8:330
|time:98,54028|1:18|2:12|3:13|4:5|5:12|6:0|7:1|8:330
|time:99,66695|1:18|2:10|3:9|4:5|5:12|6:0|7:1|8:330
|time:100,9003|1:18|2:6|3:13|4:5|5:12|6:0|7:1|8:330
|time:102,144|1:18|2:12|3:8|4:5|5:12|6:0|7:1|8:330
|time:103,47|1:18|2:15|3:13|4:5|5:12|6:0|7:1|8:330
|time:104,7765|1:18|2:17|3:12|4:5|5:12|6:0|7:1|8:330
|time:105,9754|1:18|2:13|3:7|4:5|5:12|6:0|7:1|8:330
|time:107,2761|1:18|2:19|3:12|4:5|5:12|6:0|7:1|8:330
|time:108,7748|1:19|2:16|3:12|4:5|5:13|6:0|7:1|8:330
|time:110,151|1:19|2:19|3:9|4:5|5:13|6:0|7:1|8:330
|time:111,6687|1:19|2:20|3:18|4:5|5:13|6:0|7:1|8:330
|time:113,313|1:19|2:13|3:9|4:5|5:13|6:0|7:1|8:330
|time:114,4225|1:19|2:14|3:5|4:5|5:13|6:0|7:1|8:330
|time:115,6246|1:20|2:14|3:11|4:5|5:14|6:0|7:1|8:330
|time:116,8964|1:20|2:13|3:14|4:5|5:14|6:0|7:1|8:330
|time:118,6046|1:20|2:6|3:17|4:5|5:14|6:0|7:1|8:330
|time:120,0622|1:20|2:18|3:16|4:5|5:14|6:0|7:1|8:330
|time:122,0337|1:20|2:18|3:19|4:5|5:14|6:0|7:1|8:330
|time:124,4763|1:20|2:19|3:22|4:5|5:14|6:0|7:1|8:330
|time:126,7536|1:20|2:21|3:13|4:5|5:14|6:0|7:1|8:330
|time:128,2297|1:20|2:14|3:20|4:5|5:14|6:0|7:1|8:330
|time:129,6412|1:19|2:11|3:18|4:5|5:13|6:0|7:1|8:330
|time:130,8779|1:20|2:15|3:17|4:6|5:13|6:0|7:1|8:330
|time:132,2354|1:21|2:11|3:12|4:7|5:13|6:0|7:1|8:330
|time:133,5936|1:22|2:13|3:13|4:7|5:14|6:0|7:1|8:330
|time:135,0919|1:26|2:13|3:12|4:10|5:15|6:0|7:1|8:330
|time:136,9373|1:26|2:19|3:19|4:10|5:15|6:0|7:1|8:330
|time:140,4556|1:26|2:32|3:25|4:10|5:15|6:0|7:1|8:330
|time:143,0823|1:26|2:33|3:25|4:10|5:15|6:0|7:1|8:330
|time:145,709|1:26|2:22|3:21|4:10|5:15|6:0|7:1|8:330
|time:148,3357|1:25|2:19|3:15|4:10|5:14|6:0|7:1|8:330
|time:149,9666|1:25|2:12|3:14|4:10|5:14|6:0|7:1|8:330
|time:151,0377|1:25|2:11|3:19|4:10|5:14|6:0|7:1|8:330
|time:152,1193|1:25|2:11|3:20|4:10|5:14|6:0|7:1|8:330
|time:153,2117|1:25|2:12|3:14|4:10|5:14|6:0|7:1|8:330
|time:154,3028|1:25|2:14|3:13|4:10|5:14|6:0|7:1|8:330
|time:155,3826|1:25|2:17|3:15|4:10|5:14|6:0|7:1|8:330
|time:156,4469|1:25|2:16|3:14|4:10|5:14|6:0|7:1|8:330
|time:157,5047|1:24|2:17|3:16|4:10|5:13|6:0|7:1|8:330
|time:158,5648|1:24|2:14|3:15|4:10|5:13|6:0|7:1|8:330
|time:159,6983|1:24|2:15|3:14|4:10|5:13|6:0|7:1|8:330
|time:160,7732|1:24|2:12|3:13|4:10|5:13|6:0|7:1|8:330
|time:161,8371|1:24|2:18|3:17|4:10|5:13|6:0|7:1|8:330
|time:162,9135|1:25|2:21|3:16|4:11|5:13|6:0|7:1|8:330
|time:164,0152|1:25|2:24|3:14|4:11|5:13|6:0|7:1|8:330
|time:165,0804|1:24|2:15|3:8|4:11|5:12|6:0|7:1|8:330
