|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0
|time:1,028465|1:2|2:2|3:3|4:1|5:1|6:0|7:0
|time:2,073674|1:2|2:2|3:9|4:1|5:1|6:0|7:0
|time:3,231133|1:2|2:6|3:11|4:1|5:1|6:0|7:0
|time:4,27974|1:2|2:8|3:8|4:1|5:1|6:0|7:0
|time:5,311969|1:2|2:7|3:11|4:1|5:1|6:0|7:0
|time:6,347454|1:2|2:9|3:21|4:1|5:1|6:0|7:0
|time:7,37463|1:2|2:11|3:17|4:1|5:1|6:0|7:0
|time:8,416156|1:2|2:10|3:16|4:1|5:1|6:0|7:0
|time:9,461696|1:2|2:12|3:21|4:1|5:1|6:0|7:0
|time:10,49653|1:2|2:13|3:17|4:1|5:1|6:0|7:0
|time:11,53974|1:2|2:16|3:20|4:1|5:1|6:0|7:0
|time:12,56814|1:2|2:15|3:19|4:1|5:1|6:0|7:0
|time:13,60799|1:2|2:17|3:18|4:1|5:1|6:0|7:0
|time:14,65409|1:2|2:19|3:19|4:1|5:1|6:0|7:0
|time:15,68344|1:2|2:16|3:15|4:1|5:1|6:0|7:0
|time:16,72425|1:2|2:18|3:13|4:1|5:1|6:0|7:0
|time:17,77182|1:2|2:12|3:16|4:1|5:1|6:0|7:0
|time:18,81015|1:2|2:9|3:13|4:1|5:1|6:0|7:0
|time:19,84218|1:2|2:11|3:14|4:1|5:1|6:0|7:0
|time:20,89962|1:2|2:10|3:12|4:1|5:1|6:0|7:0
|time:21,93242|1:2|2:8|3:15|4:1|5:1|6:0|7:0
|time:22,97088|1:2|2:10|3:16|4:1|5:1|6:0|7:0
|time:24,01021|1:2|2:9|3:14|4:1|5:1|6:0|7:0
|time:25,07126|1:2|2:12|3:13|4:1|5:1|6:0|7:0
|time:26,13347|1:2|2:12|3:13|4:1|5:1|6:0|7:0
|time:27,20024|1:2|2:15|3:13|4:1|5:1|6:0|7:0
|time:28,23712|1:2|2:18|3:14|4:1|5:1|6:0|7:0
|time:29,30683|1:2|2:18|3:14|4:1|5:1|6:0|7:0
|time:30,378|1:2|2:16|3:15|4:1|5:1|6:0|7:0
|time:31,44479|1:2|2:20|3:18|4:1|5:1|6:0|7:0
|time:32,48948|1:2|2:15|3:13|4:1|5:1|6:0|7:0
|time:33,55865|1:2|2:14|3:15|4:1|5:1|6:0|7:0
|time:34,99216|1:50|2:12|3:14|4:11|5:16|6:0|7:23
|time:36,03781|1:51|2:13|3:16|4:11|5:16|6:0|7:24
|time:37,11004|1:51|2:11|3:15|4:11|5:16|6:0|7:24
|time:38,22855|1:48|2:14|3:11|4:10|5:14|6:0|7:24
|time:39,30044|1:47|2:13|3:11|4:10|5:14|6:0|7:23
|time:40,34891|1:47|2:14|3:13|4:10|5:14|6:0|7:23
|time:41,4407|1:44|2:13|3:13|4:8|5:13|6:0|7:23
|time:42,49394|1:48|2:15|3:13|4:8|5:13|6:0|7:27
