|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,02662|1:2|2:4|3:3|4:1|5:1|6:0|7:0|8:330
|time:2,10178|1:2|2:7|3:6|4:1|5:1|6:0|7:0|8:330
|time:3,129595|1:2|2:8|3:13|4:1|5:1|6:0|7:0|8:330
|time:4,154698|1:2|2:9|3:13|4:1|5:1|6:0|7:0|8:330
|time:5,179564|1:2|2:14|3:13|4:1|5:1|6:0|7:0|8:330
|time:6,204699|1:2|2:13|3:15|4:1|5:1|6:0|7:0|8:330
|time:7,23245|1:2|2:15|3:20|4:1|5:1|6:0|7:0|8:330
|time:8,256642|1:2|2:16|3:18|4:1|5:1|6:0|7:0|8:330
|time:9,275986|1:2|2:19|3:16|4:1|5:1|6:0|7:0|8:330
|time:10,29906|1:2|2:17|3:16|4:1|5:1|6:0|7:0|8:330
|time:11,36781|1:2|2:17|3:15|4:1|5:1|6:0|7:0|8:330
|time:12,39491|1:2|2:15|3:21|4:1|5:1|6:0|7:0|8:330
|time:13,41765|1:2|2:19|3:20|4:1|5:1|6:0|7:0|8:330
|time:14,44325|1:2|2:11|3:19|4:1|5:1|6:0|7:0|8:330
|time:15,46848|1:2|2:12|3:21|4:1|5:1|6:0|7:0|8:330
|time:16,50139|1:2|2:17|3:20|4:1|5:1|6:0|7:0|8:330
|time:17,52718|1:2|2:14|3:23|4:1|5:1|6:0|7:0|8:330
|time:18,54986|1:2|2:18|3:24|4:1|5:1|6:0|7:0|8:330
|time:19,58633|1:2|2:17|3:19|4:1|5:1|6:0|7:0|8:330
|time:20,72267|1:2|2:10|3:21|4:1|5:1|6:0|7:0|8:330
|time:21,74156|1:2|2:15|3:24|4:1|5:1|6:0|7:0|8:330
|time:22,76086|1:2|2:11|3:20|4:1|5:1|6:0|7:0|8:330
|time:23,79177|1:2|2:12|3:17|4:1|5:1|6:0|7:0|8:330
|time:24,82268|1:2|2:11|3:16|4:1|5:1|6:0|7:0|8:330
|time:25,84369|1:2|2:16|3:17|4:1|5:1|6:0|7:0|8:330
|time:26,86176|1:2|2:15|3:23|4:1|5:1|6:0|7:0|8:330
|time:27,88864|1:2|2:20|3:16|4:1|5:1|6:0|7:0|8:330
|time:28,90828|1:2|2:16|3:19|4:1|5:1|6:0|7:0|8:330
|time:29,93557|1:2|2:17|3:20|4:1|5:1|6:0|7:0|8:330
|time:30,96309|1:2|2:14|3:25|4:1|5:1|6:0|7:0|8:330
|time:31,98249|1:2|2:14|3:21|4:1|5:1|6:0|7:0|8:330
|time:33,0121|1:2|2:11|3:14|4:1|5:1|6:0|7:0|8:330
|time:34,04061|1:2|2:10|3:12|4:1|5:1|6:0|7:0|8:330
|time:35,07181|1:2|2:18|3:15|4:1|5:1|6:0|7:0|8:330
|time:36,10163|1:2|2:16|3:16|4:1|5:1|6:0|7:0|8:330
|time:37,13225|1:2|2:15|3:13|4:1|5:1|6:0|7:0|8:330
|time:38,15553|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:39,17911|1:2|2:23|3:19|4:1|5:1|6:0|7:0|8:330
|time:40,19561|1:2|2:13|3:15|4:1|5:1|6:0|7:0|8:330
|time:41,21438|1:2|2:13|3:14|4:1|5:1|6:0|7:0|8:330
|time:42,2324|1:2|2:15|3:18|4:1|5:1|6:0|7:0|8:330
|time:43,25947|1:2|2:19|3:17|4:1|5:1|6:0|7:0|8:330
|time:44,28938|1:2|2:20|3:15|4:1|5:1|6:0|7:0|8:330
|time:45,3095|1:2|2:25|3:17|4:1|5:1|6:0|7:0|8:330
|time:46,33758|1:2|2:16|3:18|4:1|5:1|6:0|7:0|8:330
|time:47,35419|1:2|2:16|3:16|4:1|5:1|6:0|7:0|8:330
|time:48,37741|1:2|2:14|3:16|4:1|5:1|6:0|7:0|8:330
|time:49,40469|1:2|2:13|3:17|4:1|5:1|6:0|7:0|8:330
|time:50,43214|1:2|2:15|3:21|4:1|5:1|6:0|7:0|8:330
|time:51,45846|1:2|2:16|3:18|4:1|5:1|6:0|7:0|8:330
|time:52,4862|1:2|2:18|3:15|4:1|5:1|6:0|7:0|8:330
|time:53,51951|1:3|2:17|3:19|4:1|5:2|6:0|7:0|8:330
|time:54,54061|1:3|2:19|3:14|4:1|5:2|6:0|7:0|8:330
|time:55,60123|1:3|2:20|3:19|4:1|5:2|6:0|7:0|8:330
|time:56,66939|1:3|2:20|3:21|4:1|5:2|6:0|7:0|8:330
|time:57,74738|1:3|2:20|3:24|4:1|5:2|6:0|7:0|8:330
|time:58,82595|1:3|2:22|3:17|4:1|5:2|6:0|7:0|8:330
|time:60,00766|1:3|2:19|3:19|4:1|5:2|6:0|7:0|8:330
|time:61,22857|1:3|2:15|3:18|4:1|5:2|6:0|7:0|8:330
|time:62,42118|1:3|2:16|3:16|4:1|5:2|6:0|7:0|8:330
|time:63,66986|1:3|2:22|3:13|4:1|5:2|6:0|7:0|8:330
|time:64,92738|1:3|2:22|3:16|4:1|5:2|6:0|7:0|8:330
|time:66,1932|1:3|2:19|3:21|4:1|5:2|6:0|7:0|8:330
|time:67,63831|1:3|2:17|3:17|4:1|5:2|6:0|7:0|8:330
|time:68,94238|1:3|2:15|3:22|4:1|5:2|6:0|7:0|8:330
|time:70,26878|1:3|2:10|3:17|4:1|5:2|6:0|7:0|8:330
|time:71,56023|1:3|2:17|3:24|4:1|5:2|6:0|7:0|8:330
|time:72,95518|1:3|2:15|3:23|4:1|5:2|6:0|7:0|8:330
|time:74,20411|1:3|2:16|3:12|4:1|5:2|6:0|7:0|8:330
|time:75,68311|1:3|2:20|3:18|4:1|5:2|6:0|7:0|8:330
|time:77,04955|1:3|2:17|3:19|4:1|5:2|6:0|7:0|8:330
|time:78,32156|1:3|2:15|3:20|4:1|5:2|6:0|7:0|8:330
|time:79,86738|1:3|2:21|3:20|4:1|5:2|6:0|7:0|8:330
|time:81,18291|1:3|2:20|3:17|4:1|5:2|6:0|7:0|8:330
|time:82,45977|1:3|2:23|3:17|4:1|5:2|6:0|7:0|8:330
|time:83,74147|1:3|2:22|3:15|4:1|5:2|6:0|7:0|8:330
|time:85,0339|1:3|2:15|3:15|4:1|5:2|6:0|7:0|8:330
|time:86,47012|1:3|2:17|3:15|4:1|5:2|6:0|7:0|8:330
|time:87,81971|1:3|2:14|3:14|4:1|5:2|6:0|7:0|8:330
|time:89,29137|1:3|2:19|3:12|4:1|5:2|6:0|7:0|8:330
|time:90,7972|1:3|2:23|3:18|4:1|5:2|6:0|7:0|8:330
|time:92,34435|1:3|2:26|3:18|4:1|5:2|6:0|7:0|8:330
|time:93,86478|1:3|2:19|3:24|4:1|5:2|6:0|7:0|8:330
|time:95,49384|1:3|2:14|3:17|4:1|5:2|6:0|7:0|8:330
|time:96,88062|1:3|2:11|3:22|4:1|5:2|6:0|7:0|8:330
|time:98,28738|1:3|2:15|3:21|4:1|5:2|6:0|7:0|8:330
|time:99,67639|1:3|2:15|3:24|4:1|5:2|6:0|7:0|8:330
|time:101,0817|1:3|2:15|3:23|4:1|5:2|6:0|7:0|8:330
|time:102,3486|1:3|2:18|3:22|4:1|5:2|6:0|7:0|8:330
|time:103,8607|1:3|2:20|3:29|4:1|5:2|6:0|7:0|8:330
|time:105,2202|1:3|2:13|3:14|4:1|5:2|6:0|7:0|8:330
|time:106,7196|1:3|2:15|3:18|4:1|5:2|6:0|7:0|8:330
|time:108,0329|1:4|2:18|3:20|4:2|5:2|6:0|7:0|8:330
|time:109,6625|1:4|2:12|3:19|4:2|5:2|6:0|7:0|8:330
|time:111,3014|1:4|2:13|3:24|4:2|5:2|6:0|7:0|8:330
|time:112,7243|1:4|2:16|3:21|4:2|5:2|6:0|7:0|8:330
|time:114,2917|1:4|2:18|3:21|4:2|5:2|6:0|7:0|8:330
|time:115,7109|1:5|2:13|3:21|4:2|5:3|6:0|7:0|8:330
|time:117,2707|1:5|2:13|3:23|4:2|5:3|6:0|7:0|8:330
|time:118,7138|1:5|2:10|3:24|4:2|5:3|6:0|7:0|8:330
|time:120,1599|1:5|2:9|3:17|4:2|5:3|6:0|7:0|8:330
|time:121,7514|1:5|2:20|3:26|4:2|5:3|6:0|7:0|8:330
|time:123,4441|1:5|2:26|3:24|4:2|5:3|6:0|7:0|8:330
|time:125,3161|1:5|2:25|3:21|4:2|5:3|6:0|7:0|8:330
|time:126,8835|1:5|2:16|3:20|4:2|5:3|6:0|7:0|8:330
|time:128,3709|1:5|2:12|3:15|4:2|5:3|6:0|7:0|8:330
|time:129,8568|1:5|2:15|3:14|4:2|5:3|6:0|7:0|8:330
|time:131,3126|1:5|2:15|3:16|4:2|5:3|6:0|7:0|8:330
|time:132,8378|1:5|2:18|3:22|4:2|5:3|6:0|7:0|8:330
|time:134,3385|1:5|2:16|3:12|4:2|5:3|6:0|7:0|8:330
|time:135,9861|1:5|2:26|3:15|4:2|5:3|6:0|7:0|8:330
|time:137,6471|1:5|2:28|3:22|4:2|5:3|6:0|7:0|8:330
|time:139,4347|1:5|2:24|3:26|4:2|5:3|6:0|7:0|8:330
|time:141,189|1:5|2:22|3:20|4:2|5:3|6:0|7:0|8:330
|time:142,8073|1:5|2:19|3:22|4:2|5:3|6:0|7:0|8:330
|time:144,2181|1:5|2:19|3:25|4:2|5:3|6:0|7:0|8:330
|time:145,8725|1:5|2:19|3:22|4:2|5:3|6:0|7:0|8:330
|time:147,4489|1:5|2:14|3:23|4:2|5:3|6:0|7:0|8:330
|time:148,9712|1:5|2:19|3:22|4:2|5:3|6:0|7:0|8:330
|time:150,4038|1:5|2:13|3:16|4:2|5:3|6:0|7:0|8:330
|time:152,2623|1:5|2:15|3:21|4:2|5:3|6:0|7:0|8:330
|time:153,7018|1:5|2:13|3:22|4:2|5:3|6:0|7:0|8:330
|time:155,3186|1:5|2:17|3:21|4:2|5:3|6:0|7:0|8:330
|time:156,6664|1:5|2:19|3:17|4:2|5:3|6:0|7:0|8:330
|time:158,3227|1:5|2:22|3:22|4:2|5:3|6:0|7:0|8:330
|time:159,9217|1:6|2:15|3:23|4:3|5:3|6:0|7:0|8:330
|time:161,6045|1:6|2:17|3:22|4:3|5:3|6:0|7:0|8:330
|time:163,2178|1:6|2:13|3:23|4:3|5:3|6:0|7:0|8:330
|time:164,8752|1:6|2:18|3:33|4:3|5:3|6:0|7:0|8:330
|time:167,1684|1:6|2:21|3:25|4:3|5:3|6:0|7:0|8:330
