|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,042083|1:2|2:8|3:6|4:1|5:1|6:0|7:0|8:330
|time:2,068822|1:2|2:12|3:6|4:1|5:1|6:0|7:0|8:330
|time:3,088467|1:2|2:11|3:10|4:1|5:1|6:0|7:0|8:330
|time:4,113948|1:2|2:18|3:13|4:1|5:1|6:0|7:0|8:330
|time:5,145796|1:2|2:13|3:13|4:1|5:1|6:0|7:0|8:330
|time:6,182623|1:2|2:14|3:18|4:1|5:1|6:0|7:0|8:330
|time:7,203937|1:2|2:10|3:14|4:1|5:1|6:0|7:0|8:330
|time:8,225367|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:9,263546|1:2|2:11|3:19|4:1|5:1|6:0|7:0|8:330
|time:10,30459|1:2|2:15|3:22|4:1|5:1|6:0|7:0|8:330
|time:11,32698|1:2|2:12|3:19|4:1|5:1|6:0|7:0|8:330
|time:12,3502|1:2|2:14|3:18|4:1|5:1|6:0|7:0|8:330
|time:13,3916|1:2|2:22|3:16|4:1|5:1|6:0|7:0|8:330
|time:14,41487|1:2|2:18|3:15|4:1|5:1|6:0|7:0|8:330
|time:15,44133|1:2|2:15|3:14|4:1|5:1|6:0|7:0|8:330
|time:16,48822|1:2|2:13|3:12|4:1|5:1|6:0|7:0|8:330
|time:17,51214|1:2|2:15|3:14|4:1|5:1|6:0|7:0|8:330
|time:18,54383|1:2|2:11|3:13|4:1|5:1|6:0|7:0|8:330
|time:19,58074|1:3|2:14|3:16|4:2|5:1|6:0|7:0|8:330
|time:20,61072|1:3|2:17|3:16|4:2|5:1|6:0|7:0|8:330
|time:21,64114|1:3|2:13|3:12|4:2|5:1|6:0|7:0|8:330
|time:22,67526|1:3|2:13|3:16|4:2|5:1|6:0|7:0|8:330
|time:23,7075|1:3|2:17|3:16|4:2|5:1|6:0|7:0|8:330
|time:24,72874|1:3|2:17|3:16|4:2|5:1|6:0|7:0|8:330
|time:25,76269|1:3|2:17|3:17|4:2|5:1|6:0|7:0|8:330
|time:26,79912|1:4|2:19|3:14|4:3|5:1|6:0|7:0|8:330
|time:27,83054|1:4|2:16|3:12|4:3|5:1|6:0|7:0|8:330
|time:28,85568|1:5|2:19|3:15|4:4|5:1|6:0|7:0|8:330
|time:29,8917|1:6|2:18|3:20|4:5|5:1|6:0|7:0|8:330
|time:30,93547|1:7|2:12|3:17|4:6|5:1|6:0|7:0|8:330
|time:31,97793|1:8|2:17|3:20|4:7|5:1|6:0|7:0|8:330
|time:33,01498|1:9|2:18|3:14|4:8|5:1|6:0|7:0|8:330
|time:34,05399|1:11|2:22|3:16|4:10|5:1|6:0|7:0|8:330
|time:35,09776|1:11|2:16|3:16|4:10|5:1|6:0|7:0|8:330
|time:36,13899|1:12|2:16|3:16|4:11|5:1|6:0|7:0|8:330
|time:37,1676|1:14|2:15|3:18|4:13|5:1|6:0|7:0|8:330
|time:38,19266|1:15|2:9|3:18|4:14|5:1|6:0|7:0|8:330
|time:39,23652|1:16|2:11|3:15|4:15|5:1|6:0|7:0|8:330
|time:40,27908|1:17|2:13|3:21|4:16|5:1|6:0|7:0|8:330
|time:41,32233|1:18|2:16|3:17|4:17|5:1|6:0|7:0|8:330
|time:42,35942|1:19|2:18|3:23|4:18|5:1|6:0|7:0|8:330
|time:43,39434|1:19|2:24|3:24|4:18|5:1|6:0|7:0|8:330
|time:44,43037|1:20|2:18|3:15|4:19|5:1|6:0|7:0|8:330
|time:45,45615|1:20|2:17|3:13|4:19|5:1|6:0|7:0|8:330
|time:46,5112|1:20|2:23|3:12|4:19|5:1|6:0|7:0|8:330
