|time:0|1:2|2:0|3:1|4:1|5:1|6:0|7:0|8:330
|time:1,034451|1:2|2:5|3:4|4:1|5:1|6:0|7:0|8:330
|time:2,066394|1:2|2:11|3:6|4:1|5:1|6:0|7:0|8:330
|time:3,091554|1:2|2:11|3:14|4:1|5:1|6:0|7:0|8:330
|time:4,118139|1:2|2:13|3:21|4:1|5:1|6:0|7:0|8:330
|time:5,136995|1:2|2:17|3:17|4:1|5:1|6:0|7:0|8:330
|time:6,161777|1:2|2:11|3:16|4:1|5:1|6:0|7:0|8:330
|time:7,200835|1:2|2:15|3:23|4:1|5:1|6:0|7:0|8:330
|time:8,327834|1:2|2:13|3:26|4:1|5:1|6:0|7:0|8:330
|time:9,353107|1:2|2:15|3:22|4:1|5:1|6:0|7:0|8:330
|time:10,37307|1:2|2:18|3:21|4:1|5:1|6:0|7:0|8:330
|time:11,4016|1:2|2:20|3:22|4:1|5:1|6:0|7:0|8:330
|time:12,43031|1:2|2:19|3:21|4:1|5:1|6:0|7:0|8:330
|time:13,46134|1:2|2:23|3:23|4:1|5:1|6:0|7:0|8:330
|time:14,48803|1:2|2:17|3:16|4:1|5:1|6:0|7:0|8:330
|time:15,51009|1:2|2:21|3:17|4:1|5:1|6:0|7:0|8:330
|time:16,54531|1:2|2:18|3:17|4:1|5:1|6:0|7:0|8:330
|time:17,61561|1:2|2:17|3:18|4:1|5:1|6:0|7:0|8:330
|time:18,65146|1:2|2:17|3:19|4:1|5:1|6:0|7:0|8:330
|time:19,68506|1:2|2:20|3:20|4:1|5:1|6:0|7:0|8:330
|time:20,72889|1:2|2:17|3:19|4:1|5:1|6:0|7:0|8:330
|time:21,77077|1:2|2:21|3:21|4:1|5:1|6:0|7:0|8:330
|time:22,81157|1:2|2:14|3:19|4:1|5:1|6:0|7:0|8:330
|time:23,8395|1:2|2:17|3:17|4:1|5:1|6:0|7:0|8:330
|time:24,88733|1:2|2:17|3:16|4:1|5:1|6:0|7:0|8:330
|time:25,93398|1:2|2:14|3:15|4:1|5:1|6:0|7:0|8:330
|time:26,98221|1:2|2:11|3:18|4:1|5:1|6:0|7:0|8:402,8934
|time:28,02603|1:2|2:17|3:17|4:1|5:1|6:0|7:0|8:402,8934
|time:29,06256|1:2|2:13|3:12|4:1|5:1|6:0|7:0|8:402,8934
|time:30,11188|1:2|2:15|3:19|4:1|5:1|6:0|7:0|8:402,8934
|time:31,14289|1:2|2:17|3:12|4:1|5:1|6:0|7:0|8:402,8934
|time:32,18087|1:2|2:22|3:13|4:1|5:1|6:0|7:0|8:402,8934
|time:33,2299|1:2|2:17|3:10|4:1|5:1|6:0|7:0|8:402,8934
|time:34,26419|1:2|2:21|3:14|4:1|5:1|6:0|7:0|8:402,8934
