|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0|8:330
|time:1,030728|1:2|2:2|3:0|4:1|5:1|6:0|7:0|8:330
|time:2,056411|1:2|2:5|3:3|4:1|5:1|6:0|7:0|8:330
|time:3,083358|1:2|2:10|3:8|4:1|5:1|6:0|7:0|8:330
|time:4,124484|1:2|2:9|3:14|4:1|5:1|6:0|7:0|8:330
|time:5,158216|1:2|2:18|3:7|4:1|5:1|6:0|7:0|8:330
|time:6,560405|1:2|2:14|3:5|4:1|5:1|6:0|7:0|8:330
|time:7,603772|1:2|2:15|3:8|4:1|5:1|6:0|7:0|8:330
|time:8,641204|1:2|2:18|3:12|4:1|5:1|6:0|7:0|8:330
|time:9,66713|1:2|2:17|3:17|4:1|5:1|6:0|7:0|8:330
|time:10,72472|1:2|2:19|3:19|4:1|5:1|6:0|7:0|8:330
|time:11,74652|1:2|2:20|3:20|4:1|5:1|6:0|7:0|8:330
|time:12,7805|1:2|2:17|3:17|4:1|5:1|6:0|7:0|8:330
|time:13,82308|1:2|2:21|3:21|4:1|5:1|6:0|7:0|8:330
|time:14,85875|1:2|2:13|3:24|4:1|5:1|6:0|7:0|8:330
|time:15,88165|1:2|2:14|3:20|4:1|5:1|6:0|7:0|8:330
|time:16,90358|1:2|2:17|3:20|4:1|5:1|6:0|7:0|8:330
|time:17,92766|1:2|2:15|3:21|4:1|5:1|6:0|7:0|8:330
|time:18,97129|1:2|2:16|3:20|4:1|5:1|6:0|7:0|8:330
|time:20,00948|1:2|2:18|3:16|4:1|5:1|6:0|7:0|8:330
|time:21,04235|1:2|2:18|3:19|4:1|5:1|6:0|7:0|8:330
|time:22,07985|1:2|2:14|3:14|4:1|5:1|6:0|7:0|8:330
|time:23,13877|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:24,17929|1:2|2:19|3:13|4:1|5:1|6:0|7:0|8:330
|time:25,24109|1:2|2:20|3:16|4:1|5:1|6:0|7:0|8:330
|time:26,27348|1:2|2:19|3:13|4:1|5:1|6:0|7:0|8:330
|time:27,30332|1:2|2:19|3:12|4:1|5:1|6:0|7:0|8:330
|time:28,34547|1:2|2:20|3:14|4:1|5:1|6:0|7:0|8:330
|time:29,38862|1:2|2:21|3:19|4:1|5:1|6:0|7:0|8:330
|time:30,44874|1:2|2:19|3:17|4:1|5:1|6:0|7:0|8:330
|time:31,47405|1:2|2:20|3:17|4:1|5:1|6:0|7:0|8:330
|time:32,50048|1:2|2:21|3:16|4:1|5:1|6:0|7:0|8:330
