|time:0|1:2|2:0|3:0|4:1|5:1|6:0|7:0
|time:1,03285|1:2|2:3|3:4|4:1|5:1|6:0|7:0
|time:2,055562|1:2|2:10|3:14|4:1|5:1|6:0|7:0
|time:3,075782|1:2|2:15|3:10|4:1|5:1|6:0|7:0
|time:4,103513|1:2|2:12|3:18|4:1|5:1|6:0|7:0
|time:5,125275|1:2|2:17|3:17|4:1|5:1|6:0|7:0
|time:6,154953|1:2|2:9|3:11|4:1|5:1|6:0|7:0
|time:7,186276|1:2|2:14|3:15|4:1|5:1|6:0|7:0
|time:8,21965|1:2|2:10|3:15|4:1|5:1|6:0|7:0
|time:9,241396|1:2|2:12|3:11|4:1|5:1|6:0|7:0
|time:10,27521|1:2|2:11|3:13|4:1|5:1|6:0|7:0
|time:11,29803|1:2|2:16|3:15|4:1|5:1|6:0|7:0
|time:12,33408|1:2|2:18|3:16|4:1|5:1|6:0|7:0
|time:13,3582|1:2|2:15|3:11|4:1|5:1|6:0|7:0
|time:14,38282|1:2|2:12|3:12|4:1|5:1|6:0|7:0
|time:15,42902|1:2|2:12|3:14|4:1|5:1|6:0|7:0
|time:16,49889|1:2|2:12|3:18|4:1|5:1|6:0|7:0
|time:17,54131|1:2|2:12|3:18|4:1|5:1|6:0|7:0
|time:18,58476|1:2|2:15|3:19|4:1|5:1|6:0|7:0
|time:19,66117|1:2|2:19|3:18|4:1|5:1|6:0|7:0
|time:20,69694|1:2|2:19|3:17|4:1|5:1|6:0|7:0
|time:21,71921|1:2|2:14|3:17|4:1|5:1|6:0|7:0
|time:22,76225|1:2|2:16|3:21|4:1|5:1|6:0|7:0
|time:23,80692|1:2|2:12|3:31|4:1|5:1|6:0|7:0
|time:24,87745|1:2|2:14|3:26|4:1|5:1|6:0|7:0
|time:25,92104|1:2|2:12|3:24|4:1|5:1|6:0|7:0
|time:26,97564|1:2|2:16|3:26|4:1|5:1|6:0|7:0
|time:28,02154|1:2|2:12|3:21|4:1|5:1|6:0|7:0
|time:29,07625|1:2|2:8|3:26|4:1|5:1|6:0|7:0
|time:30,13595|1:2|2:12|3:26|4:1|5:1|6:0|7:0
|time:31,19509|1:2|2:14|3:28|4:1|5:1|6:0|7:0
|time:32,29827|1:2|2:11|3:26|4:1|5:1|6:0|7:0
|time:33,35491|1:2|2:12|3:21|4:1|5:1|6:0|7:0
|time:34,41847|1:2|2:11|3:17|4:1|5:1|6:0|7:0
|time:35,45633|1:2|2:16|3:17|4:1|5:1|6:0|7:0
|time:36,47974|1:2|2:15|3:18|4:1|5:1|6:0|7:0
|time:37,52365|1:2|2:13|3:17|4:1|5:1|6:0|7:0
|time:38,61674|1:2|2:14|3:18|4:1|5:1|6:0|7:0
